[Shoot] 時間:  0.22s | 弾数:119/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.27s | 弾数:118/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.32s | 弾数:117/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.37s | 弾数:116/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.42s | 弾数:115/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.47s | 弾数:114/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.52s | 弾数:113/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.57s | 弾数:112/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.62s | 弾数:111/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.67s | 弾数:110/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.72s | 弾数:109/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.77s | 弾数:108/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.82s | 弾数:107/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.87s | 弾数:106/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.92s | 弾数:105/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  0.97s | 弾数:104/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.02s | 弾数:103/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.07s | 弾数:102/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.12s | 弾数:101/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.17s | 弾数:100/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.22s | 弾数: 99/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.27s | 弾数: 98/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.32s | 弾数: 97/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.37s | 弾数: 96/120 | Pellets: 1 | Dmg:     2,790 | Buffs: None
[Shoot] 時間:  1.42s | 弾数: 95/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.47s | 弾数: 94/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.52s | 弾数: 93/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.57s | 弾数: 92/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.62s | 弾数: 91/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.67s | 弾数: 90/120 | Pellets: 1 | Dmg:     2,790 | Buffs: None
[Shoot] 時間:  1.72s | 弾数: 89/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.77s | 弾数: 88/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.82s | 弾数: 87/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  1.87s | 弾数: 86/120 | Pellets: 1 | Dmg:     2,790 | Buffs: None
[Shoot] 時間:  1.92s | 弾数: 85/120 | Pellets: 1 | Dmg:     2,790 | Buffs: None
[Shoot] 時間:  1.97s | 弾数: 84/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  2.02s | 弾数: 83/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  2.07s | 弾数: 82/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  2.12s | 弾数: 81/120 | Pellets: 1 | Dmg:     2,790 | Buffs: None
[Shoot] 時間:  2.17s | 弾数: 80/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  2.22s | 弾数: 79/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  2.27s | 弾数: 78/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  2.32s | 弾数: 77/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  2.37s | 弾数: 76/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  2.42s | 弾数: 75/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
[Shoot] 時間:  2.47s | 弾数: 74/120 | Pellets: 1 | Dmg:     1,860 | Buffs: None
