[Shoot] 時間:  0.22s | 弾数:299/300 | Pellets: 1 | Dmg:     2,967 | Buffs: None
[Shoot] 時間:  0.62s | 弾数:298/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  0.83s | 弾数:297/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  1.05s | 弾数:296/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  1.22s | 弾数:295/300 | Pellets: 1 | Dmg:     2,967 | Buffs: None
[Shoot] 時間:  1.38s | 弾数:294/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  1.55s | 弾数:293/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  1.68s | 弾数:292/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  1.82s | 弾数:291/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  1.95s | 弾数:290/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  2.08s | 弾数:289/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  2.20s | 弾数:288/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  2.32s | 弾数:287/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  2.43s | 弾数:286/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  2.55s | 弾数:285/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  2.67s | 弾数:284/300 | Pellets: 1 | Dmg:     2,967 | Buffs: None
[Shoot] 時間:  2.77s | 弾数:283/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  2.87s | 弾数:282/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  2.97s | 弾数:281/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  3.07s | 弾数:280/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  3.17s | 弾数:279/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  3.27s | 弾数:278/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  3.35s | 弾数:277/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  3.43s | 弾数:276/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  3.52s | 弾数:275/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  3.60s | 弾数:274/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  3.68s | 弾数:273/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  3.77s | 弾数:272/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  3.85s | 弾数:271/300 | Pellets: 1 | Dmg:     2,967 | Buffs: None
[Shoot] 時間:  3.93s | 弾数:270/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  4.02s | 弾数:269/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  4.10s | 弾数:268/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  4.18s | 弾数:267/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  4.27s | 弾数:266/300 | Pellets: 1 | Dmg:     2,967 | Buffs: None
[Shoot] 時間:  4.35s | 弾数:265/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  4.43s | 弾数:264/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  4.52s | 弾数:263/300 | Pellets: 1 | Dmg:     2,967 | Buffs: None
[Shoot] 時間:  4.58s | 弾数:262/300 | Pellets: 1 | Dmg:     2,967 | Buffs: None
[Shoot] 時間:  4.65s | 弾数:261/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  4.72s | 弾数:260/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  4.78s | 弾数:259/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  4.85s | 弾数:258/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Shoot] 時間:  4.92s | 弾数:257/300 | Pellets: 1 | Dmg:     2,967 | Buffs: None
[Shoot] 時間:  4.98s | 弾数:256/300 | Pellets: 1 | Dmg:     2,374 | Buffs: None
[Buff] Applied S1: パイレーツハート_Stage_0 (hit_rate_buff: -0.2) to マスト：ロマンチックメイド
[Buff] Applied S1: パイレーツハート_Stage_1 (crit_rate_buff: 0.2005) to マスト：ロマンチックメイド
[Buff] Applied S1: パイレーツハート_Stage_2 (atk_buff_fixed: 7461.7114) to マスト：ロマンチックメイド
[Burst] Activate!
[Buff] Applied Burst: パイレーツロマン_Stage_0 (crit_dmg_buff: 0.4004) to マスト：ロマンチックメイド
[Buff] Applied Burst: パイレーツロマン_Stage_1 (atk_damage_buff: 0.1504) to マスト：ロマンチックメイド
[Stack Scale] Value scaled by horoyoi (x1) -> 4274.1842
[Buff] Applied Burst: パイレーツロマン_Stage_2 (atk_buff_fixed: 4274.1842) to マスト：ロマンチックメイド
[Stack Scale] Value scaled by horoyoi (x1) -> 0.1503
[Buff] Applied S2: パイレーツスピリット (Start)_Stage_0 (distribute_damage: 0.1503) to マスト：ロマンチックメイド
[Stack Scale] Value scaled by horoyoi (x1) -> 0.1504
[Buff] Applied S2: パイレーツスピリット (Start)_Stage_1 (reload_speed_buff: 0.1504) to マスト：ロマンチックメイド
[Shoot] 時間:  5.05s | 弾数:255/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.12s | 弾数:254/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.18s | 弾数:253/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.25s | 弾数:252/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.32s | 弾数:251/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.38s | 弾数:250/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.45s | 弾数:249/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.52s | 弾数:248/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.58s | 弾数:247/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.65s | 弾数:246/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.72s | 弾数:245/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.78s | 弾数:244/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.85s | 弾数:243/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.92s | 弾数:242/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  5.98s | 弾数:241/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.05s | 弾数:240/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.12s | 弾数:239/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.18s | 弾数:238/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.25s | 弾数:237/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.32s | 弾数:236/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.38s | 弾数:235/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.45s | 弾数:234/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.52s | 弾数:233/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.57s | 弾数:232/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.62s | 弾数:231/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.67s | 弾数:230/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.72s | 弾数:229/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.77s | 弾数:228/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.82s | 弾数:227/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.87s | 弾数:226/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.92s | 弾数:225/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  6.97s | 弾数:224/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  7.02s | 弾数:223/300 | Pellets: 1 | Dmg:     6,258 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  7.07s | 弾数:222/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
[Shoot] 時間:  7.12s | 弾数:221/300 | Pellets: 1 | Dmg:     4,601 | Buffs: crit_rate_buff:0.20 | atk_buff_fixed:11735.90 | crit_dmg_buff:0.40 | atk_damage_buff:0.15 | distribute_damage:0.15 | reload_speed_buff:0.15 | [horoyoi x1 (Val:-0.20)]
