[Shoot] 時間:  0.22s | 弾数:299/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  0.22s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  0.62s | 弾数:298/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  0.62s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  0.83s | 弾数:297/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  0.83s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.00s | 弾数:296/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  1.00s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,169 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.13s | 弾数:295/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  1.13s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.25s | 弾数:294/300 | Pellets: 1 | Dmg:     4,926 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  1.25s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.35s | 弾数:293/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  1.35s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.43s | 弾数:292/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  1.43s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.52s | 弾数:291/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  1.52s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.58s | 弾数:290/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  1.58s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.65s | 弾数:289/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  1.65s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,169 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.72s | 弾数:288/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  1.72s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.77s | 弾数:287/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Skill Dmg] 時間:  1.77s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:       779 | Hits:1 | Buffs:charge_dmg_buff:0.42
[Shoot] 時間:  1.82s | 弾数:286/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
