[Shoot] 時間:  0.22s | 弾数: 59/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  0.30s | 弾数: 58/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  0.38s | 弾数: 57/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  0.47s | 弾数: 56/60  | Pellets: 1 | Dmg:     7,518 | Buffs: None
[Shoot] 時間:  0.55s | 弾数: 55/60  | Pellets: 1 | Dmg:     7,518 | Buffs: None
[Shoot] 時間:  0.63s | 弾数: 54/60  | Pellets: 1 | Dmg:     7,518 | Buffs: None
[Shoot] 時間:  0.72s | 弾数: 53/60  | Pellets: 1 | Dmg:     7,518 | Buffs: None
[Shoot] 時間:  0.80s | 弾数: 52/60  | Pellets: 1 | Dmg:     7,518 | Buffs: None
[Shoot] 時間:  0.88s | 弾数: 51/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  0.97s | 弾数: 50/60  | Pellets: 1 | Dmg:     7,518 | Buffs: None
[Shoot] 時間:  1.05s | 弾数: 49/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  1.13s | 弾数: 48/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  1.22s | 弾数: 47/60  | Pellets: 1 | Dmg:     5,638 | Buffs: None
[Shoot] 時間:  1.30s | 弾数: 46/60  | Pellets: 1 | Dmg:     7,518 | Buffs: None
[Shoot] 時間:  1.38s | 弾数: 45/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  1.47s | 弾数: 44/60  | Pellets: 1 | Dmg:     5,638 | Buffs: None
[Shoot] 時間:  1.55s | 弾数: 43/60  | Pellets: 1 | Dmg:     7,518 | Buffs: None
[Shoot] 時間:  1.63s | 弾数: 42/60  | Pellets: 1 | Dmg:     5,638 | Buffs: None
[Shoot] 時間:  1.72s | 弾数: 41/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  1.80s | 弾数: 40/60  | Pellets: 1 | Dmg:     5,638 | Buffs: None
[Shoot] 時間:  1.88s | 弾数: 39/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  1.97s | 弾数: 38/60  | Pellets: 1 | Dmg:     7,518 | Buffs: None
[Shoot] 時間:  2.05s | 弾数: 37/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  2.13s | 弾数: 36/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  2.22s | 弾数: 35/60  | Pellets: 1 | Dmg:     9,397 | Buffs: None
[Shoot] 時間:  2.30s | 弾数: 34/60  | Pellets: 1 | Dmg:     5,638 | Buffs: None
[Shoot] 時間:  2.38s | 弾数: 33/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
[Shoot] 時間:  2.47s | 弾数: 32/60  | Pellets: 1 | Dmg:     3,759 | Buffs: None
