=== Simulation Start ===
[Config] Weapon: シンデレラ's RL
[Config] Type: CHARGE (Class: RL)
[Config] Max Ammo: 50
[Config] Fire Interval (RAPID default): 5
[Shoot] 時間:  1.17s | 弾数: 49/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: None
[Skill] 時間:  1.17s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間:  1.52s | 弾数: 48/50  | ペレット: 1 (Hit:1) | Dmg:    27,388 | Buffs: charge_speed_rate:1.00
[Skill] 時間:  1.52s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間:  1.87s | 弾数: 47/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00
[Skill] 時間:  1.87s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間:  2.22s | 弾数: 46/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00
[Skill] 時間:  2.22s | 名前:Skill 1: 追加ダメージ           | Dmg:    34,954 | Hits:1
[Shoot] 時間:  2.57s | 弾数: 45/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00
[Skill] 時間:  2.57s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間:  2.92s | 弾数: 44/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00
[Skill] 時間:  2.92s | 名前:Skill 1: 追加ダメージ           | Dmg:    34,954 | Hits:1
[Shoot] 時間:  3.27s | 弾数: 43/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x1 (Val:0.02)]
[Skill] 時間:  3.27s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間:  3.62s | 弾数: 42/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x1 (Val:0.02)]
[Skill] 時間:  3.62s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間:  3.97s | 弾数: 41/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x1 (Val:0.02)]
[Skill] 時間:  3.97s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間:  4.32s | 弾数: 40/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x1 (Val:0.02)]
