Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,1,05-16 02:11,3,803,AMY,1033603,Scarlet: Black Shadow,LB11,Liberalio,LB05,Little Mermaid,LB07,Nayuta,LB05,Velvet,LB01,"Scarlet: Black Shadow LB11, Liberalio LB05, Little Mermaid LB07, Nayuta LB05, Velvet LB01",46394182969,Yes
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,2,05-16 01:42,3,888,WSY,508937,Scarlet: Black Shadow,LB11,Liberalio,LB11,Little Mermaid,LB11,Nayuta,LB11,Velvet,LB11,"Scarlet: Black Shadow LB11, Liberalio LB11, Little Mermaid LB11, Nayuta LB11, Velvet LB11",90831761116,No
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,3,05-16 01:23,3,805,YYAJ,6445643,Scarlet: Black Shadow,LB11,Little Mermaid,LB04,Liberalio,LB04,Nayuta,LB05,Velvet,LB02,"Scarlet: Black Shadow LB11, Little Mermaid LB04, Liberalio LB04, Nayuta LB05, Velvet LB02",52191872063,No
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,4,05-16 01:15,3,791,OQPGECC,6705208,Nayuta,LB07,Little Mermaid,LB10,Liberalio,LB05,Asuka: WILLE,LB04,Velvet,LB04,"Nayuta LB07, Little Mermaid LB10, Liberalio LB05, Asuka: WILLE LB04, Velvet LB04",52800260015,No
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,5,05-16 01:10,3,775,天堂,6862798,Scarlet: Black Shadow,LB11,Liberalio,LB11,Little Mermaid,LB02,Nayuta,LB05,Velvet,LB03,"Scarlet: Black Shadow LB11, Liberalio LB11, Little Mermaid LB02, Nayuta LB05, Velvet LB03",50227219587,No
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,6,05-16 00:07,2,808,SORROW,794894,Nayuta,LB08,Scarlet: Black Shadow,LB11,Liberalio,LB11,Little Mermaid,LB08,Velvet,LB03,"Nayuta LB08, Scarlet: Black Shadow LB11, Liberalio LB11, Little Mermaid LB08, Velvet LB03",54625419708,Yes
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,7,05-15 23:31,2,810,废墟,6263034,Scarlet: Black Shadow,LB11,Liberalio,LB02,Little Mermaid,LB11,Nayuta,LB03,Velvet,LB02,"Scarlet: Black Shadow LB11, Liberalio LB02, Little Mermaid LB11, Nayuta LB03, Velvet LB02",54541579551,No
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,8,05-15 23:21,2,702,这或许不是爱,6726246,Nayuta,LB07,Liberalio,LB09,Little Mermaid,LB07,Asuka: WILLE,LB04,Velvet,LB02,"Nayuta LB07, Liberalio LB09, Little Mermaid LB07, Asuka: WILLE LB04, Velvet LB02",40617419541,No
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,9,05-15 23:07,1,702,这或许不是爱,6726246,Tia,LB11,Liter,LB11,Snow White: Heavy Arms,LB04,Naga,LB11,Mana,LB04,"Tia LB11, Liter LB11, Snow White: Heavy Arms LB04, Naga LB11, Mana LB04",5014188738,Yes
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,10,05-15 22:31,1,821,SENTRY,805029,Scarlet: Black Shadow,LB11,Nayuta,LB04,Liberalio,LB03,Liter,LB11,Velvet,LB02,"Scarlet: Black Shadow LB11, Nayuta LB04, Liberalio LB03, Liter LB11, Velvet LB02",43159195604,No
40,GLOBAL,1,MIDNIGHT,1663,1,Mace,Wind,11,05-15 21:37,1,783,RIRI,1004193,Nayuta,LB05,Scarlet: Black Shadow,LB11,Little Mermaid,LB04,Liberalio,LB07,Velvet,LB02,"Nayuta LB05, Scarlet: Black Shadow LB11, Little Mermaid LB04, Liberalio LB07, Velvet LB02",51682894858,No
40,GLOBAL,2,WARCRAFT,11158,1,Mace,Wind,1,05-16 13:57,3,783,FAITH,4763313,Nayuta,LB03,Little Mermaid,LB04,Liberalio,LB07,Scarlet: Black Shadow,LB09,Mast: Romantic Maid,LB06,"Nayuta LB03, Little Mermaid LB04, Liberalio LB07, Scarlet: Black Shadow LB09, Mast: Romantic Maid LB06",39326516708,Yes
40,GLOBAL,2,WARCRAFT,11158,1,Mace,Wind,2,05-16 13:47,3,776,1FREUND,1223810,Nayuta,LB06,Little Mermaid,LB06,Liberalio,LB08,Scarlet: Black Shadow,LB11,Velvet,LB02,"Nayuta LB06, Little Mermaid LB06, Liberalio LB08, Scarlet: Black Shadow LB11, Velvet LB02",49423309945,No
40,GLOBAL,2,WARCRAFT,11158,1,Mace,Wind,3,05-16 13:36,3,821,KLARA,310001,Nayuta,LB11,Liberalio,LB11,Little Mermaid,LB10,Velvet,LB06,Scarlet: Black Shadow,LB11,"Nayuta LB11, Liberalio LB11, Little Mermaid LB10, Velvet LB06, Scarlet: Black Shadow LB11",69581805193,No
40,GLOBAL,2,WARCRAFT,11158,1,Mace,Wind,4,05-16 13:32,3,749,BIMUX,77565,Nayuta,LB08,Little Mermaid,LB11,Liberalio,LB11,Scarlet: Black Shadow,LB11,Velvet,LB05,"Nayuta LB08, Little Mermaid LB11, Liberalio LB11, Scarlet: Black Shadow LB11, Velvet LB05",46489018858,No
40,GLOBAL,2,WARCRAFT,11158,1,Mace,Wind,5,05-16 12:33,3,912,엘드윈,2113486,Nayuta,LB11,Little Mermaid,LB07,Liberalio,LB11,Scarlet: Black Shadow,LB11,Velvet,LB10,"Nayuta LB11, Little Mermaid LB07, Liberalio LB11, Scarlet: Black Shadow LB11, Velvet LB10",87624645046,No
40,GLOBAL,2,WARCRAFT,11158,1,Mace,Wind,6,05-16 03:17,2,736,FAYAH,391925,Nayuta,LB02,Little Mermaid,LB02,Liberalio,LB07,Scarlet: Black Shadow,LB11,Velvet,LB01,"Nayuta LB02, Little Mermaid LB02, Liberalio LB07, Scarlet: Black Shadow LB11, Velvet LB01",34882018112,Yes
40,GLOBAL,2,WARCRAFT,11158,1,Mace,Wind,7,05-16 02:17,2,741,LILITH,1144157,Little Mermaid,LB03,Nayuta,LB01,Liberalio,LB08,Scarlet: Black Shadow,LB05,Velvet,LB01,"Little Mermaid LB03, Nayuta LB01, Liberalio LB08, Scarlet: Black Shadow LB05, Velvet LB01",39832482649,No
40,GLOBAL,2,WARCRAFT,11158,1,Mace,Wind,8,05-16 02:02,2,956,MATIAS,2151828,Nayuta,LB04,Liberalio,LB11,Little Mermaid,LB11,Scarlet: Black Shadow,LB11,Velvet,LB04,"Nayuta LB04, Liberalio LB11, Little Mermaid LB11, Scarlet: Black Shadow LB11, Velvet LB04",75069918039,No
40,GLOBAL,2,WARCRAFT,11158,1,Mace,Wind,9,05-15 23:21,1,803,MOSHI,3227606,Nayuta,LB05,Liberalio,LB10,Little Mermaid,LB10,Velvet,LB01,Scarlet: Black Shadow,LB11,"Nayuta LB05, Liberalio LB10, Little Mermaid LB10, Velvet LB01, Scarlet: Black Shadow LB11",56005345443,Yes
40,GLOBAL,2,WARCRAFT,11158,1,Mace,Wind,10,05-15 21:24,1,761,MIHOYA,185834,Nayuta,LB06,Little Mermaid,LB09,Liberalio,LB05,Velvet,LB03,Scarlet: Black Shadow,LB11,"Nayuta LB06, Little Mermaid LB09, Liberalio LB05, Velvet LB03, Scarlet: Black Shadow LB11",43850933757,No
40,GLOBAL,3,噩梦之巅,477,1,Mace,Wind,1,05-16 10:04,3,741,初夏,1265076,Nayuta,LB05,Scarlet: Black Shadow,LB11,Little Mermaid,LB07,Liberalio,LB11,Velvet,LB04,"Nayuta LB05, Scarlet: Black Shadow LB11, Little Mermaid LB07, Liberalio LB11, Velvet LB04",31760913445,Yes
40,GLOBAL,3,噩梦之巅,477,1,Mace,Wind,2,05-16 09:40,3,974,KPSH,4992586,Nayuta,LB11,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB11,Velvet,LB11,"Nayuta LB11, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB11, Velvet LB11",76739686700,No
40,GLOBAL,3,噩梦之巅,477,1,Mace,Wind,3,05-16 09:28,3,1089,YUY,289328,Nayuta,LB11,Liberalio,LB11,Little Mermaid,LB11,Scarlet: Black Shadow,LB11,Velvet,LB11,"Nayuta LB11, Liberalio LB11, Little Mermaid LB11, Scarlet: Black Shadow LB11, Velvet LB11",139146066725,No
40,GLOBAL,3,噩梦之巅,477,1,Mace,Wind,4,05-16 09:25,3,773,MFORS,5015072,Nayuta,LB05,Liberalio,LB10,Little Mermaid,LB06,Scarlet: Black Shadow,LB05,Velvet,LB03,"Nayuta LB05, Liberalio LB10, Little Mermaid LB06, Scarlet: Black Shadow LB05, Velvet LB03",44798628880,No
40,GLOBAL,3,噩梦之巅,477,1,Mace,Wind,5,05-16 05:18,2,746,风云,8810242,Scarlet: Black Shadow,LB11,Nayuta,LB04,Little Mermaid,LB08,Liberalio,LB05,Velvet,LB06,"Scarlet: Black Shadow LB11, Nayuta LB04, Little Mermaid LB08, Liberalio LB05, Velvet LB06",36736634241,Yes
40,GLOBAL,3,噩梦之巅,477,1,Mace,Wind,6,05-16 05:05,2,821,山止川行,493645,Scarlet: Black Shadow,LB11,Nayuta,LB06,Little Mermaid,LB05,Liberalio,LB11,Velvet,LB02,"Scarlet: Black Shadow LB11, Nayuta LB06, Little Mermaid LB05, Liberalio LB11, Velvet LB02",60813016613,No
40,GLOBAL,3,噩梦之巅,477,1,Mace,Wind,7,05-16 04:10,2,886,KENNY,3256665,Nayuta,LB04,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB06,Velvet,LB02,"Nayuta LB04, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB06, Velvet LB02",52234767946,No
