Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,GLOBAL,1,MIDNIGHT,1663,3,Modernia,Fire,1,05-16 03:09,3,763,FUJIN,47002,Volume,LB11,Blanc,LB11,Scarlet,LB09,Noir,LB09,Modernia,LB11,"Volume LB11, Blanc LB11, Scarlet LB09, Noir LB09, Modernia LB11",4829981687,Yes
40,GLOBAL,1,MIDNIGHT,1663,3,Modernia,Fire,2,05-16 03:03,3,783,RIRI,1004193,Rapi: Red Hood,LB11,Rei Ayanami,LB04,Diesel: Winter Sweets,LB04,Brid: Silent Track,LB01,Mihara: Bonding Chain,LB05,"Rapi: Red Hood LB11, Rei Ayanami LB04, Diesel: Winter Sweets LB04, Brid: Silent Track LB01, Mihara: Bonding Chain LB05",43509593748,No
40,GLOBAL,1,MIDNIGHT,1663,3,Modernia,Fire,3,05-16 02:55,3,821,NEKO,280201,Brid: Silent Track,LB03,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB10,"Brid: Silent Track LB03, Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB10",52483931463,No
40,GLOBAL,1,MIDNIGHT,1663,3,Modernia,Fire,4,05-16 02:43,3,821,GAVIN,1575779,Rapi: Red Hood,LB09,Brid: Silent Track,LB04,Little Mermaid,LB07,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB09,"Rapi: Red Hood LB09, Brid: Silent Track LB04, Little Mermaid LB07, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB09",49985638733,No
40,GLOBAL,1,MIDNIGHT,1663,3,Modernia,Fire,5,05-16 02:41,3,849,TAE,214286,Mihara: Bonding Chain,LB11,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB11,Privaty,LB11,Brid: Silent Track,LB09,"Mihara: Bonding Chain LB11, Rapi: Red Hood LB11, Diesel: Winter Sweets LB11, Privaty LB11, Brid: Silent Track LB09",65003915848,No
40,GLOBAL,1,MIDNIGHT,1663,3,Modernia,Fire,6,05-16 02:20,3,888,HOSHIWS,2422460,Rapi: Red Hood,LB11,Mihara: Bonding Chain,LB11,Diesel: Winter Sweets,LB11,Brid: Silent Track,LB05,Privaty,LB11,"Rapi: Red Hood LB11, Mihara: Bonding Chain LB11, Diesel: Winter Sweets LB11, Brid: Silent Track LB05, Privaty LB11",72771043409,No
40,GLOBAL,1,MIDNIGHT,1663,3,Modernia,Fire,7,05-16 02:03,3,888,WSY,508937,Mihara: Bonding Chain,LB10,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB11,Brid: Silent Track,LB04,Privaty,LB11,"Mihara: Bonding Chain LB10, Rapi: Red Hood LB11, Diesel: Winter Sweets LB11, Brid: Silent Track LB04, Privaty LB11",60646796612,No
40,GLOBAL,1,MIDNIGHT,1663,3,Modernia,Fire,8,05-16 00:56,2,775,天堂,6862798,Mihara: Bonding Chain,LB04,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB04,Brid: Silent Track,LB01,Privaty,LB11,"Mihara: Bonding Chain LB04, Rapi: Red Hood LB11, Diesel: Winter Sweets LB04, Brid: Silent Track LB01, Privaty LB11",36892828067,Yes
40,GLOBAL,1,MIDNIGHT,1663,3,Modernia,Fire,9,05-16 00:43,2,808,SORROW,794894,Mihara: Bonding Chain,LB11,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB04,Brid: Silent Track,LB01,Privaty,LB11,"Mihara: Bonding Chain LB11, Rapi: Red Hood LB11, Diesel: Winter Sweets LB04, Brid: Silent Track LB01, Privaty LB11",49535527967,No
40,GLOBAL,1,MIDNIGHT,1663,3,Modernia,Fire,10,05-16 00:26,2,901,水无月,8848979,Mihara: Bonding Chain,LB11,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB11,Brid: Silent Track,LB11,Privaty,LB11,"Mihara: Bonding Chain LB11, Rapi: Red Hood LB11, Diesel: Winter Sweets LB11, Brid: Silent Track LB11, Privaty LB11",78553605502,No
