Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,1,05-16 03:16,3,663,无尽狂野,14323095,Rapi: Red Hood,LB11,Raven,LB11,Little Mermaid,LB09,Nayuta,LB11,Privaty,LB11,"Rapi: Red Hood LB11, Raven LB11, Little Mermaid LB09, Nayuta LB11, Privaty LB11",16715668257,Yes
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,2,05-16 03:04,3,820,李皇,3830776,Crown,LB11,Rapi: Red Hood,LB11,Raven,LB11,Little Mermaid,LB10,Helm: Aquamarine,LB04,"Crown LB11, Rapi: Red Hood LB11, Raven LB11, Little Mermaid LB10, Helm: Aquamarine LB04",44778281700,No
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,3,05-16 02:47,3,707,AYA,910033,Miranda,LB11,Nayuta,LB07,Rapi: Red Hood,LB07,Raven,LB04,Helm: Aquamarine,LB02,"Miranda LB11, Nayuta LB07, Rapi: Red Hood LB07, Raven LB04, Helm: Aquamarine LB02",25284581379,No
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,4,05-16 02:38,3,817,BVWX,1008081,Little Mermaid,LB11,Nayuta,LB11,Rapi: Red Hood,LB11,Raven,LB11,Privaty,LB11,"Little Mermaid LB11, Nayuta LB11, Rapi: Red Hood LB11, Raven LB11, Privaty LB11",45926932447,No
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,5,05-16 02:29,3,810,废墟,6263034,Miranda,LB11,Raven,LB11,Ade: Agent Bunny,LB01,Helm: Aquamarine,LB04,Rapi: Red Hood,LB11,"Miranda LB11, Raven LB11, Ade: Agent Bunny LB01, Helm: Aquamarine LB04, Rapi: Red Hood LB11",36070798887,No
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,6,05-16 02:27,3,822,MYBLOOD,2133006,Little Mermaid,LB06,Nayuta,LB02,Rapi: Red Hood,LB10,Raven,LB09,Privaty,LB11,"Little Mermaid LB06, Nayuta LB02, Rapi: Red Hood LB10, Raven LB09, Privaty LB11",39276095362,No
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,7,05-16 01:38,3,819,LENIANE,138666,Little Mermaid,LB10,Crown,LB11,Rapi: Red Hood,LB11,EVE,LB11,Privaty,LB11,"Little Mermaid LB10, Crown LB11, Rapi: Red Hood LB11, EVE LB11, Privaty LB11",51487083588,No
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,8,05-16 01:18,3,790,ZERO,244078,Rapi: Red Hood,LB07,Nayuta,LB02,Little Mermaid,LB05,Red Hood,LB08,Privaty,LB11,"Rapi: Red Hood LB07, Nayuta LB02, Little Mermaid LB05, Red Hood LB08, Privaty LB11",32905854130,No
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,9,05-16 00:34,2,1070,YANG,93431,Little Mermaid,LB11,Nayuta,LB11,Rapi: Red Hood,LB11,Red Hood,LB11,Privaty,LB11,"Little Mermaid LB11, Nayuta LB11, Rapi: Red Hood LB11, Red Hood LB11, Privaty LB11",99522894510,Yes
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,10,05-16 00:08,2,803,BROCKLEE,1500294,Rapi: Red Hood,LB11,EVE,LB04,Little Mermaid,LB11,Crown,LB11,Mast: Romantic Maid,LB11,"Rapi: Red Hood LB11, EVE LB04, Little Mermaid LB11, Crown LB11, Mast: Romantic Maid LB11",50261524290,No
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,11,05-15 23:05,1,663,无尽狂野,14323095,Emma: Tactical Upgrade,LB11,Trina,LB11,Scarlet,LB09,Milk: Blooming Bunny,LB08,Laplace,LB11,"Emma: Tactical Upgrade LB11, Trina LB11, Scarlet LB09, Milk: Blooming Bunny LB08, Laplace LB11",2277792760,Yes
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,12,05-15 22:50,1,821,SENTRY,805029,Rapi: Red Hood,LB07,Ade: Agent Bunny,LB02,Little Mermaid,LB08,Red Hood,LB08,Privaty,LB10,"Rapi: Red Hood LB07, Ade: Agent Bunny LB02, Little Mermaid LB08, Red Hood LB08, Privaty LB10",34063818985,No
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,13,05-15 21:59,1,765,KERND,6195340,Little Mermaid,LB08,Nayuta,LB05,Rapi: Red Hood,LB10,Red Hood,LB11,Helm: Aquamarine,LB04,"Little Mermaid LB08, Nayuta LB05, Rapi: Red Hood LB10, Red Hood LB11, Helm: Aquamarine LB04",32805135157,No
40,GLOBAL,1,MIDNIGHT,1663,4,Rebuild Vulcan R,Iron,14,05-15 21:52,1,764,FLUXRAIN,10224,Nayuta,LB04,Helm: Aquamarine,LB05,Little Mermaid,LB02,Red Hood,LB11,Rapi: Red Hood,LB07,"Nayuta LB04, Helm: Aquamarine LB05, Little Mermaid LB02, Red Hood LB11, Rapi: Red Hood LB07",30709532298,No
40,GLOBAL,2,WARCRAFT,11158,4,Rebuild Vulcan R,Iron,1,05-16 15:39,3,744,SIN,636531,Nayuta,LB05,Little Mermaid,LB06,Raven,LB04,Rapi: Red Hood,LB11,Privaty,LB11,"Nayuta LB05, Little Mermaid LB06, Raven LB04, Rapi: Red Hood LB11, Privaty LB11",24488260332,Yes
40,GLOBAL,2,WARCRAFT,11158,4,Rebuild Vulcan R,Iron,2,05-16 15:35,3,805,HAYDE,49459,Nayuta,LB09,Little Mermaid,LB11,Rapi: Red Hood,LB11,Raven,LB11,Privaty,LB11,"Nayuta LB09, Little Mermaid LB11, Rapi: Red Hood LB11, Raven LB11, Privaty LB11",47392291281,No
40,GLOBAL,2,WARCRAFT,11158,4,Rebuild Vulcan R,Iron,3,05-16 15:31,3,771,MITHESH7,1200353,Rapi: Red Hood,LB06,Raven,LB03,Little Mermaid,LB03,Ade: Agent Bunny,LB02,Helm: Aquamarine,LB04,"Rapi: Red Hood LB06, Raven LB03, Little Mermaid LB03, Ade: Agent Bunny LB02, Helm: Aquamarine LB04",26064035893,No
40,GLOBAL,2,WARCRAFT,11158,4,Rebuild Vulcan R,Iron,4,05-16 15:08,3,722,BIBA,2913549,Ade: Agent Bunny,LB04,Rapi: Red Hood,LB08,Raven,LB01,Moran,LB08,Privaty,LB11,"Ade: Agent Bunny LB04, Rapi: Red Hood LB08, Raven LB01, Moran LB08, Privaty LB11",25683811665,No
40,GLOBAL,2,WARCRAFT,11158,4,Rebuild Vulcan R,Iron,5,05-16 14:45,3,912,엘드윈,2113486,Ade: Agent Bunny,LB11,Rapi: Red Hood,LB11,Raven,LB11,Moran,LB11,Privaty,LB11,"Ade: Agent Bunny LB11, Rapi: Red Hood LB11, Raven LB11, Moran LB11, Privaty LB11",58489023593,No
40,GLOBAL,2,WARCRAFT,11158,4,Rebuild Vulcan R,Iron,6,05-16 14:28,3,803,MOSHI,3227606,Rapi: Red Hood,LB10,Raven,LB04,Moran,LB11,Ade: Agent Bunny,LB02,Privaty,LB11,"Rapi: Red Hood LB10, Raven LB04, Moran LB11, Ade: Agent Bunny LB02, Privaty LB11",33762738247,No
40,GLOBAL,2,WARCRAFT,11158,4,Rebuild Vulcan R,Iron,7,05-16 14:20,3,961,LENIANE,63128,Rapi: Red Hood,LB11,Little Mermaid,LB11,EVE,LB11,Nayuta,LB11,Privaty,LB11,"Rapi: Red Hood LB11, Little Mermaid LB11, EVE LB11, Nayuta LB11, Privaty LB11",76565134739,No
40,GLOBAL,2,WARCRAFT,11158,4,Rebuild Vulcan R,Iron,8,05-16 12:02,2,736,FAYAH,391925,Ade: Agent Bunny,LB02,Rapi: Red Hood,LB07,Raven,LB03,Moran,LB06,Privaty,LB11,"Ade: Agent Bunny LB02, Rapi: Red Hood LB07, Raven LB03, Moran LB06, Privaty LB11",24966521893,Yes
