Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,GLOBAL,1,MIDNIGHT,1663,5,Alteisen,Electric,1,05-16 02:35,3,707,AYA,910033,Cinderella,LB09,Crown,LB10,Anis: Star,LB05,Anis: Sparkling Summer,LB04,Mast: Romantic Maid,LB06,"Cinderella LB09, Crown LB10, Anis: Star LB05, Anis: Sparkling Summer LB04, Mast: Romantic Maid LB06",35921822224,Yes
40,GLOBAL,1,MIDNIGHT,1663,5,Alteisen,Electric,2,05-16 02:12,3,898,WANY,566604,Cinderella,LB11,Neon: Vision Eye,LB07,Anis: Star,LB08,Crown,LB11,Mast: Romantic Maid,LB11,"Cinderella LB11, Neon: Vision Eye LB07, Anis: Star LB08, Crown LB11, Mast: Romantic Maid LB11",72060809262,No
40,GLOBAL,1,MIDNIGHT,1663,5,Alteisen,Electric,3,05-16 01:55,3,808,SORROW,794894,Cinderella,LB11,Neon: Vision Eye,LB05,Anis: Star,LB08,Crown,LB11,Mast: Romantic Maid,LB07,"Cinderella LB11, Neon: Vision Eye LB05, Anis: Star LB08, Crown LB11, Mast: Romantic Maid LB07",57340373213,No
40,GLOBAL,1,MIDNIGHT,1663,5,Alteisen,Electric,4,05-16 01:39,3,805,YYAJ,6445643,Crown,LB07,Cinderella,LB05,Anis: Star,LB03,Neon: Vision Eye,LB01,Mast: Romantic Maid,LB06,"Crown LB07, Cinderella LB05, Anis: Star LB03, Neon: Vision Eye LB01, Mast: Romantic Maid LB06",50569526411,No
40,GLOBAL,1,MIDNIGHT,1663,5,Alteisen,Electric,5,05-16 01:19,3,819,LENIANE,138666,Neon: Vision Eye,LB04,Anis: Sparkling Summer,LB11,Ade: Agent Bunny,LB04,Maiden: Ice Rose,LB11,Moran,LB09,"Neon: Vision Eye LB04, Anis: Sparkling Summer LB11, Ade: Agent Bunny LB04, Maiden: Ice Rose LB11, Moran LB09",34161651507,No
40,GLOBAL,1,MIDNIGHT,1663,5,Alteisen,Electric,6,05-16 01:17,3,775,天堂,6862798,Cinderella,LB11,Neon: Vision Eye,LB04,Anis: Star,LB04,Crown,LB05,Mast: Romantic Maid,LB07,"Cinderella LB11, Neon: Vision Eye LB04, Anis: Star LB04, Crown LB05, Mast: Romantic Maid LB07",50186609338,No
40,GLOBAL,1,MIDNIGHT,1663,5,Alteisen,Electric,7,05-16 01:09,3,764,FLUXRAIN,10224,Cinderella,LB11,Anis: Sparkling Summer,LB11,Anis: Star,LB05,Maiden: Ice Rose,LB04,Crown,LB09,"Cinderella LB11, Anis: Sparkling Summer LB11, Anis: Star LB05, Maiden: Ice Rose LB04, Crown LB09",48990109545,No
40,GLOBAL,1,MIDNIGHT,1663,5,Alteisen,Electric,8,05-16 01:01,2,790,ZERO,244078,Cinderella,LB08,Anis: Sparkling Summer,LB05,Ade: Agent Bunny,LB05,Maiden: Ice Rose,LB01,Anis: Star,LB05,"Cinderella LB08, Anis: Sparkling Summer LB05, Ade: Agent Bunny LB05, Maiden: Ice Rose LB01, Anis: Star LB05",38129892013,Yes
40,GLOBAL,1,MIDNIGHT,1663,5,Alteisen,Electric,9,05-16 00:29,2,791,OQPGECC,6705208,Crown,LB11,Cinderella,LB11,Anis: Star,LB04,Anis: Sparkling Summer,LB08,Maiden: Ice Rose,LB01,"Crown LB11, Cinderella LB11, Anis: Star LB04, Anis: Sparkling Summer LB08, Maiden: Ice Rose LB01",50682670019,No
40,GLOBAL,1,MIDNIGHT,1663,5,Alteisen,Electric,10,05-15 23:54,2,817,BVWX,1008081,Moran,LB11,Neon: Vision Eye,LB11,Ade: Agent Bunny,LB07,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB11,"Moran LB11, Neon: Vision Eye LB11, Ade: Agent Bunny LB07, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB11",41716747589,No
