Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,JP,1,OMEN,6793,3,Modernia,Fire,1,05-16 03:40,3,861,SORAKO,15012712,Rapi: Red Hood,LB11,Brid: Silent Track,LB04,Rei Ayanami,LB04,Diesel: Winter Sweets,LB07,Mihara: Bonding Chain,LB11,"Rapi: Red Hood LB11, Brid: Silent Track LB04, Rei Ayanami LB04, Diesel: Winter Sweets LB07, Mihara: Bonding Chain LB11",32628392210,Yes
40,JP,1,OMEN,6793,3,Modernia,Fire,2,05-16 03:35,3,1001,NA,22800987,Rapi: Red Hood,LB11,Brid: Silent Track,LB11,Snow White: Heavy Arms,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Rapi: Red Hood LB11, Brid: Silent Track LB11, Snow White: Heavy Arms LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",94512277193,No
40,JP,1,OMEN,6793,3,Modernia,Fire,3,05-16 02:49,3,1066,KURU,24424161,Brid: Silent Track,LB04,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB10,"Brid: Silent Track LB04, Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB10",103882318757,No
40,JP,1,OMEN,6793,3,Modernia,Fire,4,05-16 02:47,3,992,ARU,18627,Grave,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Rei Ayanami,LB04,Mihara: Bonding Chain,LB11,"Grave LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Rei Ayanami LB04, Mihara: Bonding Chain LB11",58997304268,No
40,JP,1,OMEN,6793,3,Modernia,Fire,5,05-16 02:41,3,901,カプリス,1427667,Rapi: Red Hood,LB07,Little Mermaid,LB10,Diesel: Winter Sweets,LB06,Brid: Silent Track,LB07,Mihara: Bonding Chain,LB04,"Rapi: Red Hood LB07, Little Mermaid LB10, Diesel: Winter Sweets LB06, Brid: Silent Track LB07, Mihara: Bonding Chain LB04",59210609072,No
40,JP,1,OMEN,6793,3,Modernia,Fire,6,05-16 02:07,2,971,KEIN,1903755,Liter,LB11,Brid: Silent Track,LB04,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB04,Mihara: Bonding Chain,LB10,"Liter LB11, Brid: Silent Track LB04, Rapi: Red Hood LB11, Diesel: Winter Sweets LB04, Mihara: Bonding Chain LB10",61856015359,Yes
40,JP,1,OMEN,6793,3,Modernia,Fire,7,05-15 22:20,2,924,ふらんべるく,670031,Little Mermaid,LB07,Brid: Silent Track,LB04,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB04,Mihara: Bonding Chain,LB07,"Little Mermaid LB07, Brid: Silent Track LB04, Rapi: Red Hood LB11, Diesel: Winter Sweets LB04, Mihara: Bonding Chain LB07",63062522552,No
40,JP,1,OMEN,6793,3,Modernia,Fire,8,05-15 21:30,2,1070,杏仁アイス,19620022,Brid: Silent Track,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Brid: Silent Track LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",101344182489,No
40,JP,1,OMEN,6793,3,Modernia,Fire,9,05-15 21:19,1,1064,ちさみん,5844,Brid: Silent Track,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Brid: Silent Track LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",74845325850,Yes
40,JP,1,OMEN,6793,3,Modernia,Fire,10,05-15 21:04,1,922,クロエ,24157613,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Brid: Silent Track,LB11,Mihara: Bonding Chain,LB11,"Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Brid: Silent Track LB11, Mihara: Bonding Chain LB11",75996487750,No
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,1,05-16 13:01,3,943,友人A,1039672,Anis: Star,LB11,Rapi: Red Hood,LB11,Mihara: Bonding Chain,LB11,Brid: Silent Track,LB04,Privaty,LB11,"Anis: Star LB11, Rapi: Red Hood LB11, Mihara: Bonding Chain LB11, Brid: Silent Track LB04, Privaty LB11",67109287804,Yes
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,2,05-16 12:49,3,906,那是驴增得很,733237,Brid: Silent Track,LB04,Rapi: Red Hood,LB10,Little Mermaid,LB10,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB09,"Brid: Silent Track LB04, Rapi: Red Hood LB10, Little Mermaid LB10, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB09",66961998893,No
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,3,05-16 10:46,3,837,万世沉沦,338494,Moran,LB11,Brid: Silent Track,LB11,Helm,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Moran LB11, Brid: Silent Track LB11, Helm LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",55044732328,No
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,4,05-16 10:15,3,1051,妖怪王子,1749552,Moran,LB11,Brid: Silent Track,LB11,Helm,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Moran LB11, Brid: Silent Track LB11, Helm LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",62923980099,No
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,5,05-16 06:07,3,813,眾神眷顧の貝爾,76133986,Tove,LB11,Arcana: Fortune Mate,LB11,Dorothy: Serendipity,LB11,Drake,LB11,Soline: Frost Ticket,LB08,"Tove LB11, Arcana: Fortune Mate LB11, Dorothy: Serendipity LB11, Drake LB11, Soline: Frost Ticket LB08",42231573765,No
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,6,05-16 05:52,3,891,根宝,41374,Crown,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Alice,LB11,Privaty,LB11,"Crown LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Alice LB11, Privaty LB11",54959328611,No
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,7,05-16 02:49,2,891,根宝,41374,Tove,LB11,Arcana: Fortune Mate,LB11,Dorothy: Serendipity,LB11,Drake,LB11,Soline: Frost Ticket,LB05,"Tove LB11, Arcana: Fortune Mate LB11, Dorothy: Serendipity LB11, Drake LB11, Soline: Frost Ticket LB05",49219925556,Yes
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,8,05-16 02:38,2,813,眾神眷顧の貝爾,76133986,Anis: Star,LB11,Mihara: Bonding Chain,LB11,Diesel: Winter Sweets,LB11,Brid: Silent Track,LB11,Mast: Romantic Maid,LB11,"Anis: Star LB11, Mihara: Bonding Chain LB11, Diesel: Winter Sweets LB11, Brid: Silent Track LB11, Mast: Romantic Maid LB11",77312760964,No
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,9,05-16 02:29,2,891,根宝,41374,Anis: Star,LB11,Brid: Silent Track,LB11,Mihara: Bonding Chain,LB11,Diesel: Winter Sweets,LB11,Mast: Romantic Maid,LB11,"Anis: Star LB11, Brid: Silent Track LB11, Mihara: Bonding Chain LB11, Diesel: Winter Sweets LB11, Mast: Romantic Maid LB11",99730033880,No
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,10,05-15 22:44,1,813,眾神眷顧の貝爾,76133986,Crown,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Privaty,LB11,Modernia,LB11,"Crown LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Privaty LB11, Modernia LB11",39424806129,Yes
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,11,05-15 22:30,1,802,宫百万,10797003,Tove,LB11,Arcana: Fortune Mate,LB11,Dorothy: Serendipity,LB11,Drake,LB11,Soline: Frost Ticket,LB03,"Tove LB11, Arcana: Fortune Mate LB11, Dorothy: Serendipity LB11, Drake LB11, Soline: Frost Ticket LB03",40047133741,No
40,JP,2,吉伊卡哇,120,3,Modernia,Fire,12,05-15 22:11,1,802,宫百万,10797003,Brid: Silent Track,LB07,Mihara: Bonding Chain,LB11,Anis: Star,LB04,Diesel: Winter Sweets,LB11,Mast: Romantic Maid,LB05,"Brid: Silent Track LB07, Mihara: Bonding Chain LB11, Anis: Star LB04, Diesel: Winter Sweets LB11, Mast: Romantic Maid LB05",71369873730,No
40,JP,3,D1VISION,13437,3,Modernia,Fire,1,05-16 15:27,3,844,SOFIA,791991,Rapi: Red Hood,LB11,Brid: Silent Track,LB05,Little Mermaid,LB08,Diesel: Winter Sweets,LB04,Mihara: Bonding Chain,LB11,"Rapi: Red Hood LB11, Brid: Silent Track LB05, Little Mermaid LB08, Diesel: Winter Sweets LB04, Mihara: Bonding Chain LB11",42561456725,Yes
40,JP,3,D1VISION,13437,3,Modernia,Fire,2,05-16 15:21,3,901,ツー,71977512,Rapi: Red Hood,LB11,Brid: Silent Track,LB04,Mihara: Bonding Chain,LB11,Diesel: Winter Sweets,LB05,Helm,LB11,"Rapi: Red Hood LB11, Brid: Silent Track LB04, Mihara: Bonding Chain LB11, Diesel: Winter Sweets LB05, Helm LB11",60578063013,No
40,JP,3,D1VISION,13437,3,Modernia,Fire,3,05-16 14:35,3,892,かたてま,40965,Brid: Silent Track,LB04,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Brid: Silent Track LB04, Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",65244466433,No
40,JP,3,D1VISION,13437,3,Modernia,Fire,4,05-16 12:20,3,1065,すばしっこい幽霊,74001277,Brid: Silent Track,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Brid: Silent Track LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",123985332189,No
40,JP,3,D1VISION,13437,3,Modernia,Fire,5,05-16 10:10,3,982,ねすとちゃん,622021,Moran,LB10,Brid: Silent Track,LB04,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB04,Mihara: Bonding Chain,LB11,"Moran LB10, Brid: Silent Track LB04, Rapi: Red Hood LB11, Diesel: Winter Sweets LB04, Mihara: Bonding Chain LB11",56861583140,No
40,JP,3,D1VISION,13437,3,Modernia,Fire,6,05-16 08:54,2,908,MAXIMUMU,146136,Little Mermaid,LB11,Brid: Silent Track,LB01,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB01,Mihara: Bonding Chain,LB08,"Little Mermaid LB11, Brid: Silent Track LB01, Rapi: Red Hood LB11, Diesel: Winter Sweets LB01, Mihara: Bonding Chain LB08",47357882028,Yes
