Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,JP,1,OMEN,6793,4,Rebuild Vulcan R,Iron,1,05-16 02:59,3,892,れむりっぷ,724084,Little Mermaid,LB11,Ade: Agent Bunny,LB07,Rapi: Red Hood,LB11,Raven,LB04,Helm: Aquamarine,LB01,"Little Mermaid LB11, Ade: Agent Bunny LB07, Rapi: Red Hood LB11, Raven LB04, Helm: Aquamarine LB01",34452225204,Yes
40,JP,1,OMEN,6793,4,Rebuild Vulcan R,Iron,2,05-16 02:51,3,941,TAKA,71627121,Little Mermaid,LB11,Nayuta,LB09,Rapi: Red Hood,LB11,Raven,LB04,Privaty,LB11,"Little Mermaid LB11, Nayuta LB09, Rapi: Red Hood LB11, Raven LB04, Privaty LB11",59239649976,No
40,JP,1,OMEN,6793,4,Rebuild Vulcan R,Iron,3,05-16 02:46,3,1069,キミア,23488150,Rapi: Red Hood,LB11,Moran,LB09,Ade: Agent Bunny,LB06,Red Hood,LB11,Helm: Aquamarine,LB04,"Rapi: Red Hood LB11, Moran LB09, Ade: Agent Bunny LB06, Red Hood LB11, Helm: Aquamarine LB04",68359189262,No
40,JP,1,OMEN,6793,4,Rebuild Vulcan R,Iron,4,05-16 02:45,3,1031,KEN,2675325,Nayuta,LB08,Rapi: Red Hood,LB11,Little Mermaid,LB11,Red Hood,LB11,Helm: Aquamarine,LB11,"Nayuta LB08, Rapi: Red Hood LB11, Little Mermaid LB11, Red Hood LB11, Helm: Aquamarine LB11",67662269789,No
40,JP,1,OMEN,6793,4,Rebuild Vulcan R,Iron,5,05-16 02:38,3,992,ARU,18627,Liter,LB11,Ade: Agent Bunny,LB04,Red Hood,LB11,Raven,LB11,Helm: Aquamarine,LB06,"Liter LB11, Ade: Agent Bunny LB04, Red Hood LB11, Raven LB11, Helm: Aquamarine LB06",62731961519,No
40,JP,1,OMEN,6793,4,Rebuild Vulcan R,Iron,6,05-16 00:49,2,861,そーま,15760291,Little Mermaid,LB11,Ade: Agent Bunny,LB11,Rapi: Red Hood,LB11,Red Hood,LB11,Helm: Aquamarine,LB11,"Little Mermaid LB11, Ade: Agent Bunny LB11, Rapi: Red Hood LB11, Red Hood LB11, Helm: Aquamarine LB11",15069105572,Yes
40,JP,1,OMEN,6793,4,Rebuild Vulcan R,Iron,7,05-15 21:48,2,1076,リン,57157319,Rapi: Red Hood,LB11,Raven,LB11,Nayuta,LB11,Mast: Romantic Maid,LB11,Little Mermaid,LB11,"Rapi: Red Hood LB11, Raven LB11, Nayuta LB11, Mast: Romantic Maid LB11, Little Mermaid LB11",87904785298,No
40,JP,1,OMEN,6793,4,Rebuild Vulcan R,Iron,8,05-15 21:30,2,862,ノンクロ,19309,Little Mermaid,LB11,Ade: Agent Bunny,LB10,Rapi: Red Hood,LB11,Raven,LB11,Helm: Aquamarine,LB04,"Little Mermaid LB11, Ade: Agent Bunny LB10, Rapi: Red Hood LB11, Raven LB11, Helm: Aquamarine LB04",46810527930,No
40,JP,1,OMEN,6793,4,Rebuild Vulcan R,Iron,9,05-15 21:06,1,1069,トンプソン,8252517,Nayuta,LB11,Mast: Romantic Maid,LB11,Rapi: Red Hood,LB11,Raven,LB11,Little Mermaid,LB11,"Nayuta LB11, Mast: Romantic Maid LB11, Rapi: Red Hood LB11, Raven LB11, Little Mermaid LB11",99856279200,Yes
40,JP,2,吉伊卡哇,120,4,Rebuild Vulcan R,Iron,1,05-16 13:20,3,837,万世沉沦,338494,Nayuta,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Raven,LB04,Privaty,LB11,"Nayuta LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Raven LB04, Privaty LB11",22009880209,Yes
40,JP,2,吉伊卡哇,120,4,Rebuild Vulcan R,Iron,2,05-16 13:15,3,862,君君冫,2281243,Nayuta,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Raven,LB11,Privaty,LB11,"Nayuta LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Raven LB11, Privaty LB11",52192049457,No
40,JP,2,吉伊卡哇,120,4,Rebuild Vulcan R,Iron,3,05-16 10:56,3,1051,妖怪王子,1749552,Nayuta,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Raven,LB11,Privaty,LB11,"Nayuta LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Raven LB11, Privaty LB11",72664057587,No
40,JP,2,吉伊卡哇,120,4,Rebuild Vulcan R,Iron,4,05-16 06:31,3,907,水月流歌,22923433,Nayuta,LB11,Rapi: Red Hood,LB11,Raven,LB11,Privaty,LB11,Little Mermaid,LB11,"Nayuta LB11, Rapi: Red Hood LB11, Raven LB11, Privaty LB11, Little Mermaid LB11",65013061160,No
40,JP,2,吉伊卡哇,120,4,Rebuild Vulcan R,Iron,5,05-16 05:50,3,973,BB,12807,Nayuta,LB11,Mast: Romantic Maid,LB11,Rapi: Red Hood,LB11,Raven,LB11,Little Mermaid,LB11,"Nayuta LB11, Mast: Romantic Maid LB11, Rapi: Red Hood LB11, Raven LB11, Little Mermaid LB11",80566247337,No
40,JP,2,吉伊卡哇,120,4,Rebuild Vulcan R,Iron,6,05-16 05:15,2,785,神宮寺綾人,1221958,Nayuta,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Raven,LB11,Privaty,LB11,"Nayuta LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Raven LB11, Privaty LB11",46462742599,Yes
40,JP,2,吉伊卡哇,120,4,Rebuild Vulcan R,Iron,7,05-16 04:38,2,754,埃与砂,478086,Little Mermaid,LB05,EVE,LB11,Mast: Romantic Maid,LB06,Chisato,LB11,Takina,LB04,"Little Mermaid LB05, EVE LB11, Mast: Romantic Maid LB06, Chisato LB11, Takina LB04",27000435447,No
40,JP,2,吉伊卡哇,120,4,Rebuild Vulcan R,Iron,8,05-16 04:33,2,754,埃与砂,478086,Zwei,LB07,Mint,LB01,Snow White,LB11,Red Hood,LB11,Helm: Aquamarine,LB03,"Zwei LB07, Mint LB01, Snow White LB11, Red Hood LB11, Helm: Aquamarine LB03",29346392676,No
