Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,KR,1,별이,933,1,Mace,Wind,1,05-16 06:16,3,853,PD,3162919,Nayuta,LB04,Scarlet: Black Shadow,LB11,Little Mermaid,LB09,Velvet,LB02,Liberalio,LB11,"Nayuta LB04, Scarlet: Black Shadow LB11, Little Mermaid LB09, Velvet LB02, Liberalio LB11",60051961697,Yes
40,KR,1,별이,933,1,Mace,Wind,2,05-16 06:07,3,1046,백선화,11064350,Nayuta,LB11,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB11,Velvet,LB11,"Nayuta LB11, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB11, Velvet LB11",131402295573,No
40,KR,1,별이,933,1,Mace,Wind,3,05-16 05:55,3,943,참참,729183,Nayuta,LB11,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB11,Velvet,LB11,"Nayuta LB11, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB11, Velvet LB11",100991038480,No
40,KR,1,별이,933,1,Mace,Wind,4,05-16 05:21,2,956,해달,942677,Moran,LB11,Nayuta,LB11,Scarlet: Black Shadow,LB11,Liberalio,LB11,Velvet,LB07,"Moran LB11, Nayuta LB11, Scarlet: Black Shadow LB11, Liberalio LB11, Velvet LB07",80225347056,Yes
40,KR,1,별이,933,1,Mace,Wind,5,05-16 05:10,2,882,뭐래,163118,Nayuta,LB11,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB11,Velvet,LB04,"Nayuta LB11, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB11, Velvet LB04",69559071744,No
40,KR,1,별이,933,1,Mace,Wind,6,05-16 02:21,1,823,지크박크,96014,Nayuta,LB05,Scarlet: Black Shadow,LB11,Liter,LB11,Velvet,LB03,Liberalio,LB07,"Nayuta LB05, Scarlet: Black Shadow LB11, Liter LB11, Velvet LB03, Liberalio LB07",48030222822,Yes
40,KR,1,별이,933,1,Mace,Wind,7,05-16 02:12,1,822,니케토마토,488153,Nayuta,LB04,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB06,Velvet,LB08,"Nayuta LB04, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB06, Velvet LB08",51826056378,No
40,KR,2,니삭스,5690,1,Mace,Wind,1,05-16 07:32,3,815,PRAY,3096977,Liter,LB11,Scarlet: Black Shadow,LB11,Liberalio,LB11,Nayuta,LB07,Mast: Romantic Maid,LB11,"Liter LB11, Scarlet: Black Shadow LB11, Liberalio LB11, Nayuta LB07, Mast: Romantic Maid LB11",20761078840,Yes
40,KR,2,니삭스,5690,1,Mace,Wind,2,05-16 04:01,3,827,라코프,1591572,Nayuta,LB06,Scarlet: Black Shadow,LB11,Little Mermaid,LB07,Liberalio,LB06,Mast: Romantic Maid,LB10,"Nayuta LB06, Scarlet: Black Shadow LB11, Little Mermaid LB07, Liberalio LB06, Mast: Romantic Maid LB10",60430299830,No
40,KR,2,니삭스,5690,1,Mace,Wind,3,05-16 03:55,3,821,우이,772358,Nayuta,LB11,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB11,Mast: Romantic Maid,LB11,"Nayuta LB11, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB11, Mast: Romantic Maid LB11",68667412279,No
40,KR,2,니삭스,5690,1,Mace,Wind,4,05-16 03:44,3,1042,크로빗,9751219,Nayuta,LB11,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB11,Velvet,LB11,"Nayuta LB11, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB11, Velvet LB11",142586504801,No
40,KR,2,니삭스,5690,1,Mace,Wind,5,05-16 00:36,2,1086,슈이페,319843,Nayuta,LB11,Scarlet: Black Shadow,LB11,Liberalio,LB11,Little Mermaid,LB11,Velvet,LB11,"Nayuta LB11, Scarlet: Black Shadow LB11, Liberalio LB11, Little Mermaid LB11, Velvet LB11",149784418800,Yes
40,KR,2,니삭스,5690,1,Mace,Wind,6,05-15 23:02,1,781,나루,9016191,Nayuta,LB08,Scarlet: Black Shadow,LB11,Liberalio,LB11,Little Mermaid,LB06,Ludmilla: Winter Owner,LB11,"Nayuta LB08, Scarlet: Black Shadow LB11, Liberalio LB11, Little Mermaid LB06, Ludmilla: Winter Owner LB11",38295093239,Yes
40,KR,2,니삭스,5690,1,Mace,Wind,7,05-15 22:52,1,809,아메리카노,10062539,Nayuta,LB11,Velvet,LB07,Little Mermaid,LB11,Scarlet: Black Shadow,LB11,Liberalio,LB11,"Nayuta LB11, Velvet LB07, Little Mermaid LB11, Scarlet: Black Shadow LB11, Liberalio LB11",61561185961,No
40,KR,3,릴리스,6343,1,Mace,Wind,1,05-16 08:46,3,821,MYSTERYA,90937,Moran,LB08,Scarlet: Black Shadow,LB11,Liberalio,LB05,Ade: Agent Bunny,LB09,Velvet,LB01,"Moran LB08, Scarlet: Black Shadow LB11, Liberalio LB05, Ade: Agent Bunny LB09, Velvet LB01",33343039606,Yes
40,KR,3,릴리스,6343,1,Mace,Wind,2,05-16 08:37,3,858,이지스,1103599,Nayuta,LB09,Little Mermaid,LB08,Liberalio,LB09,Scarlet: Black Shadow,LB11,Velvet,LB01,"Nayuta LB09, Little Mermaid LB08, Liberalio LB09, Scarlet: Black Shadow LB11, Velvet LB01",63393470581,No
40,KR,3,릴리스,6343,1,Mace,Wind,3,05-16 08:20,3,821,수내김,2350177,Little Mermaid,LB06,Nayuta,LB05,Scarlet: Black Shadow,LB11,Liberalio,LB06,Velvet,LB01,"Little Mermaid LB06, Nayuta LB05, Scarlet: Black Shadow LB11, Liberalio LB06, Velvet LB01",46449073794,No
40,KR,3,릴리스,6343,1,Mace,Wind,4,05-16 07:40,3,894,부니벨제,2361338,Nayuta,LB11,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB11,Velvet,LB08,"Nayuta LB11, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB11, Velvet LB08",77625990542,No
40,KR,3,릴리스,6343,1,Mace,Wind,5,05-16 07:23,3,862,샤이,2435,Nayuta,LB05,Liberalio,LB10,Little Mermaid,LB10,Scarlet: Black Shadow,LB11,Velvet,LB01,"Nayuta LB05, Liberalio LB10, Little Mermaid LB10, Scarlet: Black Shadow LB11, Velvet LB01",71633721227,No
40,KR,3,릴리스,6343,1,Mace,Wind,6,05-16 06:13,2,917,금태양,1178290,Nayuta,LB02,Scarlet: Black Shadow,LB11,Anis: Star,LB02,Liberalio,LB03,Velvet,LB01,"Nayuta LB02, Scarlet: Black Shadow LB11, Anis: Star LB02, Liberalio LB03, Velvet LB01",78040841878,Yes
40,KR,3,릴리스,6343,1,Mace,Wind,7,05-16 05:43,2,861,예닮,8493564,Liberalio,LB11,Scarlet: Black Shadow,LB11,Little Mermaid,LB06,Nayuta,LB06,Velvet,LB01,"Liberalio LB11, Scarlet: Black Shadow LB11, Little Mermaid LB06, Nayuta LB06, Velvet LB01",71743576922,No
40,KR,3,릴리스,6343,1,Mace,Wind,8,05-16 05:10,1,825,진보라,60779,Nayuta,LB01,Liberalio,LB05,Little Mermaid,LB06,Scarlet: Black Shadow,LB11,Velvet,LB02,"Nayuta LB01, Liberalio LB05, Little Mermaid LB06, Scarlet: Black Shadow LB11, Velvet LB02",52063838489,Yes
