Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,KR,1,별이,933,2,Heavy Metal,Water,1,05-16 07:01,3,864,신사,8378573,Crown,LB11,Moran,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Mast: Romantic Maid,LB11,"Crown LB11, Moran LB11, Snow White: Heavy Arms LB11, Privaty LB11, Mast: Romantic Maid LB11",57501757564,Yes
40,KR,1,별이,933,2,Heavy Metal,Water,2,05-16 06:56,3,825,커피우유,73689,Crown,LB11,Moran,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Mast: Romantic Maid,LB11,"Crown LB11, Moran LB11, Snow White: Heavy Arms LB11, Privaty LB11, Mast: Romantic Maid LB11",55072554704,No
40,KR,1,별이,933,2,Heavy Metal,Water,3,05-16 06:26,3,867,키레네,7215045,Moran,LB11,Crown,LB11,Snow White: Heavy Arms,LB08,Privaty,LB11,Mast: Romantic Maid,LB11,"Moran LB11, Crown LB11, Snow White: Heavy Arms LB08, Privaty LB11, Mast: Romantic Maid LB11",51671643819,No
40,KR,1,별이,933,2,Heavy Metal,Water,4,05-16 05:50,3,863,루디리엘,361574,Moran,LB11,Crown,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Mast: Romantic Maid,LB08,"Moran LB11, Crown LB11, Snow White: Heavy Arms LB11, Privaty LB11, Mast: Romantic Maid LB08",64701860523,No
40,KR,1,별이,933,2,Heavy Metal,Water,5,05-16 05:39,3,864,어묵,6394045,Little Mermaid,LB11,Crown,LB11,Snow White: Heavy Arms,LB06,Privaty,LB11,Mast: Romantic Maid,LB07,"Little Mermaid LB11, Crown LB11, Snow White: Heavy Arms LB06, Privaty LB11, Mast: Romantic Maid LB07",63497479140,No
40,KR,1,별이,933,2,Heavy Metal,Water,6,05-16 04:17,2,825,BOI,10536833,Crown,LB11,Moran,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Elegg: Boom and Shock,LB07,"Crown LB11, Moran LB11, Snow White: Heavy Arms LB11, Privaty LB11, Elegg: Boom and Shock LB07",47545185200,Yes
40,KR,1,별이,933,2,Heavy Metal,Water,7,05-16 04:08,2,823,지크박크,96014,Crown,LB11,Little Mermaid,LB09,Snow White: Heavy Arms,LB06,Privaty,LB11,Mast: Romantic Maid,LB05,"Crown LB11, Little Mermaid LB09, Snow White: Heavy Arms LB06, Privaty LB11, Mast: Romantic Maid LB05",50662143548,No
40,KR,1,별이,933,2,Heavy Metal,Water,8,05-16 03:46,2,822,니케토마토,488153,Crown,LB11,Moran,LB11,Snow White: Heavy Arms,LB04,Privaty,LB11,Mast: Romantic Maid,LB10,"Crown LB11, Moran LB11, Snow White: Heavy Arms LB04, Privaty LB11, Mast: Romantic Maid LB10",51577090052,No
40,KR,1,별이,933,2,Heavy Metal,Water,9,05-16 03:27,1,822,울드,80881,Moran,LB07,Crown,LB08,Snow White: Heavy Arms,LB05,Privaty,LB11,Mast: Romantic Maid,LB09,"Moran LB07, Crown LB08, Snow White: Heavy Arms LB05, Privaty LB11, Mast: Romantic Maid LB09",44170541721,Yes
40,KR,1,별이,933,2,Heavy Metal,Water,10,05-16 03:03,1,826,나인,6791003,Little Mermaid,LB08,Crown,LB10,Snow White: Heavy Arms,LB10,Privaty,LB11,Mast: Romantic Maid,LB11,"Little Mermaid LB08, Crown LB10, Snow White: Heavy Arms LB10, Privaty LB11, Mast: Romantic Maid LB11",55685737479,No
40,KR,2,니삭스,5690,2,Heavy Metal,Water,1,05-16 07:41,3,845,니그네,6401975,Nayuta,LB05,Little Mermaid,LB09,Snow White: Heavy Arms,LB05,Privaty,LB11,Elegg: Boom and Shock,LB04,"Nayuta LB05, Little Mermaid LB09, Snow White: Heavy Arms LB05, Privaty LB11, Elegg: Boom and Shock LB04",51946199285,Yes
40,KR,2,니삭스,5690,2,Heavy Metal,Water,2,05-16 07:34,3,922,앱솔루나,256147,Nayuta,LB11,Little Mermaid,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Elegg: Boom and Shock,LB05,"Nayuta LB11, Little Mermaid LB11, Snow White: Heavy Arms LB11, Privaty LB11, Elegg: Boom and Shock LB05",76019501362,No
40,KR,2,니삭스,5690,2,Heavy Metal,Water,3,05-16 07:19,3,1063,모래마녀,7241310,Nayuta,LB11,Liter,LB11,Snow White: Heavy Arms,LB10,Privaty,LB11,Elegg: Boom and Shock,LB04,"Nayuta LB11, Liter LB11, Snow White: Heavy Arms LB10, Privaty LB11, Elegg: Boom and Shock LB04",101142660050,No
40,KR,2,니삭스,5690,2,Heavy Metal,Water,4,05-16 03:42,3,834,윈터,2783381,Little Mermaid,LB11,Nayuta,LB11,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB11,Privaty,LB11,"Little Mermaid LB11, Nayuta LB11, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB11, Privaty LB11",63336935053,No
40,KR,2,니삭스,5690,2,Heavy Metal,Water,5,05-16 00:49,2,840,유리스,2565596,Moran,LB11,Nayuta,LB04,Snow White: Heavy Arms,LB08,Dorothy: Serendipity,LB04,Privaty,LB11,"Moran LB11, Nayuta LB04, Snow White: Heavy Arms LB08, Dorothy: Serendipity LB04, Privaty LB11",48811322069,Yes
40,KR,2,니삭스,5690,2,Heavy Metal,Water,6,05-16 00:33,2,790,초코,6999956,Liter,LB11,Nayuta,LB07,Snow White: Heavy Arms,LB05,Privaty,LB11,Elegg: Boom and Shock,LB01,"Liter LB11, Nayuta LB07, Snow White: Heavy Arms LB05, Privaty LB11, Elegg: Boom and Shock LB01",44894681620,No
40,KR,2,니삭스,5690,2,Heavy Metal,Water,7,05-16 00:32,2,809,STELLA,613834,Nayuta,LB09,Moran,LB07,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB11,Privaty,LB11,"Nayuta LB09, Moran LB07, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB11, Privaty LB11",56078415111,No
40,KR,2,니삭스,5690,2,Heavy Metal,Water,8,05-15 23:09,1,781,나루,9016191,Miranda,LB11,Privaty,LB11,Snow White: Heavy Arms,LB11,Mint,LB03,Soline: Frost Ticket,LB06,"Miranda LB11, Privaty LB11, Snow White: Heavy Arms LB11, Mint LB03, Soline: Frost Ticket LB06",38748161656,Yes
40,KR,2,니삭스,5690,2,Heavy Metal,Water,9,05-15 21:11,1,821,스랑,10660226,Zwei,LB11,Mint,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Soline: Frost Ticket,LB05,"Zwei LB11, Mint LB11, Snow White: Heavy Arms LB11, Privaty LB11, Soline: Frost Ticket LB05",61108117544,No
40,KR,3,릴리스,6343,2,Heavy Metal,Water,1,05-16 08:02,3,801,레그,8322449,Little Mermaid,LB05,Nayuta,LB05,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB04,Elegg: Boom and Shock,LB04,"Little Mermaid LB05, Nayuta LB05, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB04, Elegg: Boom and Shock LB04",22258231289,Yes
40,KR,3,릴리스,6343,2,Heavy Metal,Water,2,05-16 07:52,3,865,시그룬,592218,Zwei,LB10,Dorothy: Serendipity,LB05,Snow White: Heavy Arms,LB11,Mint,LB04,Little Mermaid,LB09,"Zwei LB10, Dorothy: Serendipity LB05, Snow White: Heavy Arms LB11, Mint LB04, Little Mermaid LB09",67025708506,No
40,KR,3,릴리스,6343,2,Heavy Metal,Water,3,05-16 07:30,3,1089,금소묘,1477884,Zwei,LB11,Mint,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Little Mermaid,LB11,"Zwei LB11, Mint LB11, Snow White: Heavy Arms LB11, Privaty LB11, Little Mermaid LB11",135904911858,No
40,KR,3,릴리스,6343,2,Heavy Metal,Water,4,05-16 07:10,3,886,아신,5753088,Little Mermaid,LB11,Nayuta,LB11,Dorothy: Serendipity,LB11,Snow White: Heavy Arms,LB09,Privaty,LB11,"Little Mermaid LB11, Nayuta LB11, Dorothy: Serendipity LB11, Snow White: Heavy Arms LB09, Privaty LB11",67256444097,No
40,KR,3,릴리스,6343,2,Heavy Metal,Water,5,05-16 06:03,2,806,제로사이더,46256,Little Mermaid,LB07,Nayuta,LB04,Snow White: Heavy Arms,LB04,Dorothy: Serendipity,LB11,Privaty,LB11,"Little Mermaid LB07, Nayuta LB04, Snow White: Heavy Arms LB04, Dorothy: Serendipity LB11, Privaty LB11",44543006408,Yes
40,KR,3,릴리스,6343,2,Heavy Metal,Water,6,05-16 05:49,2,799,HMA,6003661,Moran,LB11,Nayuta,LB04,Snow White: Heavy Arms,LB02,Dorothy: Serendipity,LB04,Privaty,LB11,"Moran LB11, Nayuta LB04, Snow White: Heavy Arms LB02, Dorothy: Serendipity LB04, Privaty LB11",40574912735,No
40,KR,3,릴리스,6343,2,Heavy Metal,Water,7,05-16 05:17,2,841,라꾸,79655,Zwei,LB09,Mint,LB04,Snow White: Heavy Arms,LB11,Privaty,LB11,Little Mermaid,LB11,"Zwei LB09, Mint LB04, Snow White: Heavy Arms LB11, Privaty LB11, Little Mermaid LB11",64666499657,No
40,KR,3,릴리스,6343,2,Heavy Metal,Water,8,05-16 03:44,1,801,AIYNN,116501,Little Mermaid,LB08,Nayuta,LB05,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB11,Privaty,LB11,"Little Mermaid LB08, Nayuta LB05, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB11, Privaty LB11",51916544811,Yes
40,KR,3,릴리스,6343,2,Heavy Metal,Water,9,05-16 02:56,1,845,낮잠,2377170,Nayuta,LB11,Snow White: Heavy Arms,LB08,Little Mermaid,LB11,Dorothy: Serendipity,LB11,Privaty,LB11,"Nayuta LB11, Snow White: Heavy Arms LB08, Little Mermaid LB11, Dorothy: Serendipity LB11, Privaty LB11",47939734389,No
40,KR,4,HERETICS,16515,2,Heavy Metal,Water,1,05-16 07:46,3,766,미카엘,617418,Little Mermaid,LB04,Nayuta,LB03,Snow White: Heavy Arms,LB05,Privaty,LB11,Elegg: Boom and Shock,LB01,"Little Mermaid LB04, Nayuta LB03, Snow White: Heavy Arms LB05, Privaty LB11, Elegg: Boom and Shock LB01",40840050635,Yes
40,KR,4,HERETICS,16515,2,Heavy Metal,Water,2,05-16 07:46,3,801,라바나나,178460,Miranda,LB11,Nayuta,LB04,Snow White: Heavy Arms,LB08,Privaty,LB11,Little Mermaid,LB08,"Miranda LB11, Nayuta LB04, Snow White: Heavy Arms LB08, Privaty LB11, Little Mermaid LB08",51076081607,No
40,KR,4,HERETICS,16515,2,Heavy Metal,Water,3,05-16 07:12,3,783,쿠아퐁,28478,Miranda,LB10,Nayuta,LB04,Snow White: Heavy Arms,LB07,Privaty,LB11,Little Mermaid,LB05,"Miranda LB10, Nayuta LB04, Snow White: Heavy Arms LB07, Privaty LB11, Little Mermaid LB05",52812441179,No
40,KR,4,HERETICS,16515,2,Heavy Metal,Water,4,05-16 07:09,3,822,요원,81184,Miranda,LB11,Nayuta,LB10,Snow White: Heavy Arms,LB04,Privaty,LB11,Little Mermaid,LB09,"Miranda LB11, Nayuta LB10, Snow White: Heavy Arms LB04, Privaty LB11, Little Mermaid LB09",49378173987,No
40,KR,4,HERETICS,16515,2,Heavy Metal,Water,5,05-16 06:47,3,809,마왕,3745105,Miranda,LB11,Nayuta,LB08,Snow White: Heavy Arms,LB07,Privaty,LB11,Little Mermaid,LB06,"Miranda LB11, Nayuta LB08, Snow White: Heavy Arms LB07, Privaty LB11, Little Mermaid LB06",48505167123,No
40,KR,4,HERETICS,16515,2,Heavy Metal,Water,6,05-16 06:40,3,763,GUREN,9525319,Miranda,LB09,Nayuta,LB11,Snow White: Heavy Arms,LB10,Privaty,LB11,Little Mermaid,LB10,"Miranda LB09, Nayuta LB11, Snow White: Heavy Arms LB10, Privaty LB11, Little Mermaid LB10",49833381219,No
40,KR,4,HERETICS,16515,2,Heavy Metal,Water,7,05-16 06:17,2,777,리타,1234005,Little Mermaid,LB11,Nayuta,LB04,Snow White: Heavy Arms,LB06,Privaty,LB11,Elegg: Boom and Shock,LB04,"Little Mermaid LB11, Nayuta LB04, Snow White: Heavy Arms LB06, Privaty LB11, Elegg: Boom and Shock LB04",34032439282,Yes
