Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,KR,1,별이,933,3,Modernia,Fire,1,05-16 06:42,3,862,우리만날까,5768011,Brid: Silent Track,LB04,Rapi: Red Hood,LB11,Little Mermaid,LB07,Diesel: Winter Sweets,LB07,Mihara: Bonding Chain,LB08,"Brid: Silent Track LB04, Rapi: Red Hood LB11, Little Mermaid LB07, Diesel: Winter Sweets LB07, Mihara: Bonding Chain LB08",46344813598,Yes
40,KR,1,별이,933,3,Modernia,Fire,2,05-16 06:23,3,882,꼬마한량,3110620,Brid: Silent Track,LB01,Rapi: Red Hood,LB11,Little Mermaid,LB06,Diesel: Winter Sweets,LB04,Mihara: Bonding Chain,LB10,"Brid: Silent Track LB01, Rapi: Red Hood LB11, Little Mermaid LB06, Diesel: Winter Sweets LB04, Mihara: Bonding Chain LB10",53957175605,No
40,KR,1,별이,933,3,Modernia,Fire,3,05-16 06:14,3,882,뭐래,163118,Brid: Silent Track,LB11,Diesel: Winter Sweets,LB11,Helm,LB11,Mihara: Bonding Chain,LB11,Rapi: Red Hood,LB11,"Brid: Silent Track LB11, Diesel: Winter Sweets LB11, Helm LB11, Mihara: Bonding Chain LB11, Rapi: Red Hood LB11",56750412235,No
40,KR,1,별이,933,3,Modernia,Fire,4,05-16 06:05,3,926,누드펫,2800699,Brid: Silent Track,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Brid: Silent Track LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",76543138201,No
40,KR,1,별이,933,3,Modernia,Fire,5,05-16 06:02,3,863,루디리엘,361574,Brid: Silent Track,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Brid: Silent Track LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",58615413796,No
40,KR,1,별이,933,3,Modernia,Fire,6,05-16 05:54,3,864,어묵,6394045,Mihara: Bonding Chain,LB11,Diesel: Winter Sweets,LB04,Helm,LB11,Brid: Silent Track,LB04,Rapi: Red Hood,LB11,"Mihara: Bonding Chain LB11, Diesel: Winter Sweets LB04, Helm LB11, Brid: Silent Track LB04, Rapi: Red Hood LB11",57019948065,No
40,KR,1,별이,933,3,Modernia,Fire,7,05-16 04:36,2,1046,백선화,11064350,Brid: Silent Track,LB11,Rapi: Red Hood,LB11,Helm,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Brid: Silent Track LB11, Rapi: Red Hood LB11, Helm LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",85092758012,Yes
40,KR,1,별이,933,3,Modernia,Fire,8,05-16 04:10,2,826,나인,6791003,Rapi: Red Hood,LB11,Brid: Silent Track,LB04,Helm,LB11,Diesel: Winter Sweets,LB04,Mihara: Bonding Chain,LB06,"Rapi: Red Hood LB11, Brid: Silent Track LB04, Helm LB11, Diesel: Winter Sweets LB04, Mihara: Bonding Chain LB06",42558454331,No
40,KR,1,별이,933,3,Modernia,Fire,9,05-16 03:53,2,853,PD,3162919,Diesel: Winter Sweets,LB04,Mihara: Bonding Chain,LB06,Helm,LB11,Brid: Silent Track,LB01,Rapi: Red Hood,LB06,"Diesel: Winter Sweets LB04, Mihara: Bonding Chain LB06, Helm LB11, Brid: Silent Track LB01, Rapi: Red Hood LB06",44738485508,No
40,KR,1,별이,933,3,Modernia,Fire,10,05-16 03:41,2,825,BOI,10536833,Brid: Silent Track,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Brid: Silent Track LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",53873022549,No
40,KR,1,별이,933,3,Modernia,Fire,11,05-16 03:21,1,943,참참,729183,Helm,LB11,Brid: Silent Track,LB04,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Helm LB11, Brid: Silent Track LB04, Rapi: Red Hood LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",72951396600,Yes
40,KR,1,별이,933,3,Modernia,Fire,12,05-16 03:12,1,822,울드,80881,Mihara: Bonding Chain,LB04,Diesel: Winter Sweets,LB04,Helm,LB11,Rapi: Red Hood,LB06,Brid: Silent Track,LB01,"Mihara: Bonding Chain LB04, Diesel: Winter Sweets LB04, Helm LB11, Rapi: Red Hood LB06, Brid: Silent Track LB01",39991516772,No
