Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,KR,1,별이,933,4,Rebuild Vulcan R,Iron,1,05-16 07:47,3,956,뚜루뚜기,8721393,Little Mermaid,LB11,Raven,LB11,Mari,LB11,Rapi: Red Hood,LB11,Helm: Aquamarine,LB04,"Little Mermaid LB11, Raven LB11, Mari LB11, Rapi: Red Hood LB11, Helm: Aquamarine LB04",50791457971,Yes
40,KR,1,별이,933,4,Rebuild Vulcan R,Iron,2,05-16 07:10,3,892,무과금맨,530444,Little Mermaid,LB11,Raven,LB01,Ade: Agent Bunny,LB01,Rapi: Red Hood,LB11,Helm: Aquamarine,LB11,"Little Mermaid LB11, Raven LB01, Ade: Agent Bunny LB01, Rapi: Red Hood LB11, Helm: Aquamarine LB11",44668428746,No
40,KR,1,별이,933,4,Rebuild Vulcan R,Iron,3,05-16 07:07,3,1066,마노자,35216,Little Mermaid,LB11,Ade: Agent Bunny,LB11,Rapi: Red Hood,LB11,Raven,LB11,Helm: Aquamarine,LB04,"Little Mermaid LB11, Ade: Agent Bunny LB11, Rapi: Red Hood LB11, Raven LB11, Helm: Aquamarine LB04",85178029974,No
40,KR,1,별이,933,4,Rebuild Vulcan R,Iron,4,05-16 06:45,3,864,신사,8378573,Rapi: Red Hood,LB11,Little Mermaid,LB11,Ade: Agent Bunny,LB11,Helm: Aquamarine,LB01,Raven,LB11,"Rapi: Red Hood LB11, Little Mermaid LB11, Ade: Agent Bunny LB11, Helm: Aquamarine LB01, Raven LB11",47365654564,No
40,KR,1,별이,933,4,Rebuild Vulcan R,Iron,5,05-16 05:31,3,956,해달,942677,Rapi: Red Hood,LB11,Little Mermaid,LB11,Ade: Agent Bunny,LB09,Raven,LB11,Helm: Aquamarine,LB05,"Rapi: Red Hood LB11, Little Mermaid LB11, Ade: Agent Bunny LB09, Raven LB11, Helm: Aquamarine LB05",64441724495,No
40,KR,1,별이,933,4,Rebuild Vulcan R,Iron,6,05-16 04:24,2,855,나르,5091682,Rapi: Red Hood,LB11,Little Mermaid,LB11,Ade: Agent Bunny,LB05,Raven,LB06,Helm: Aquamarine,LB01,"Rapi: Red Hood LB11, Little Mermaid LB11, Ade: Agent Bunny LB05, Raven LB06, Helm: Aquamarine LB01",39879247688,Yes
40,KR,1,별이,933,4,Rebuild Vulcan R,Iron,7,05-16 04:14,2,984,KI,7687341,Rapi: Red Hood,LB11,Little Mermaid,LB11,Ade: Agent Bunny,LB07,Raven,LB11,Helm: Aquamarine,LB04,"Rapi: Red Hood LB11, Little Mermaid LB11, Ade: Agent Bunny LB07, Raven LB11, Helm: Aquamarine LB04",70519402714,No
40,KR,1,별이,933,4,Rebuild Vulcan R,Iron,8,05-16 04:02,2,825,커피우유,73689,Rapi: Red Hood,LB11,Little Mermaid,LB11,Ade: Agent Bunny,LB09,Raven,LB04,Helm: Aquamarine,LB04,"Rapi: Red Hood LB11, Little Mermaid LB11, Ade: Agent Bunny LB09, Raven LB04, Helm: Aquamarine LB04",39385768398,No
40,KR,1,별이,933,4,Rebuild Vulcan R,Iron,9,05-16 03:20,1,851,아나키오르,278259,Rapi: Red Hood,LB11,Little Mermaid,LB11,Nayuta,LB10,Raven,LB11,Privaty,LB11,"Rapi: Red Hood LB11, Little Mermaid LB11, Nayuta LB10, Raven LB11, Privaty LB11",51016910340,Yes
40,KR,1,별이,933,4,Rebuild Vulcan R,Iron,10,05-16 02:51,1,862,별빛,1506423,Rapi: Red Hood,LB11,Liter,LB11,Ade: Agent Bunny,LB10,Raven,LB11,Helm: Aquamarine,LB05,"Rapi: Red Hood LB11, Liter LB11, Ade: Agent Bunny LB10, Raven LB11, Helm: Aquamarine LB05",48839368860,No
40,KR,2,니삭스,5690,4,Rebuild Vulcan R,Iron,1,05-16 08:29,3,801,팡머,2575173,Rapi: Red Hood,LB10,Nayuta,LB07,Little Mermaid,LB11,EVE,LB04,Mast: Romantic Maid,LB06,"Rapi: Red Hood LB10, Nayuta LB07, Little Mermaid LB11, EVE LB04, Mast: Romantic Maid LB06",21154949211,Yes
40,KR,2,니삭스,5690,4,Rebuild Vulcan R,Iron,2,05-16 08:27,3,804,김붕붕,7469585,Nayuta,LB09,Rapi: Red Hood,LB11,Little Mermaid,LB11,EVE,LB04,Mast: Romantic Maid,LB11,"Nayuta LB09, Rapi: Red Hood LB11, Little Mermaid LB11, EVE LB04, Mast: Romantic Maid LB11",41672514244,No
40,KR,2,니삭스,5690,4,Rebuild Vulcan R,Iron,3,05-16 08:09,3,813,DENNIS,6062110,Nayuta,LB06,Rapi: Red Hood,LB07,Little Mermaid,LB10,EVE,LB05,Helm: Aquamarine,LB01,"Nayuta LB06, Rapi: Red Hood LB07, Little Mermaid LB10, EVE LB05, Helm: Aquamarine LB01",32867801660,No
