Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,KR,1,별이,933,5,Alteisen,Electric,1,05-16 07:37,3,882,뭐래,163118,Neon: Vision Eye,LB09,Crown,LB11,Anis: Star,LB11,Mast: Romantic Maid,LB11,Cinderella,LB11,"Neon: Vision Eye LB09, Crown LB11, Anis: Star LB11, Mast: Romantic Maid LB11, Cinderella LB11",74390898627,Yes
40,KR,1,별이,933,5,Alteisen,Electric,2,05-16 07:36,3,882,꽐라,208786,Isabel,LB11,Cinderella,LB11,Anis: Star,LB09,Arcana,LB11,Crown,LB11,"Isabel LB11, Cinderella LB11, Anis: Star LB09, Arcana LB11, Crown LB11",85066497852,No
40,KR,1,별이,933,5,Alteisen,Electric,3,05-16 07:28,3,851,아나키오르,278259,Anis: Star,LB11,Isabel,LB11,Arcana,LB08,Cinderella,LB11,Crown,LB11,"Anis: Star LB11, Isabel LB11, Arcana LB08, Cinderella LB11, Crown LB11",76695342780,No
40,KR,1,별이,933,5,Alteisen,Electric,4,05-16 07:07,3,823,지크박크,96014,Anis: Star,LB04,Neon: Vision Eye,LB02,Ade: Agent Bunny,LB06,Anis: Sparkling Summer,LB04,Maiden: Ice Rose,LB04,"Anis: Star LB04, Neon: Vision Eye LB02, Ade: Agent Bunny LB06, Anis: Sparkling Summer LB04, Maiden: Ice Rose LB04",53452452616,No
40,KR,1,별이,933,5,Alteisen,Electric,5,05-16 06:24,3,822,니케토마토,488153,Anis: Star,LB11,Cinderella,LB11,Ade: Agent Bunny,LB06,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB04,"Anis: Star LB11, Cinderella LB11, Ade: Agent Bunny LB06, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB04",59625709625,No
40,KR,1,별이,933,5,Alteisen,Electric,6,05-16 04:35,2,853,PD,3162919,Moran,LB11,Neon: Vision Eye,LB03,Ade: Agent Bunny,LB02,Anis: Sparkling Summer,LB04,Maiden: Ice Rose,LB03,"Moran LB11, Neon: Vision Eye LB03, Ade: Agent Bunny LB02, Anis: Sparkling Summer LB04, Maiden: Ice Rose LB03",41656800510,Yes
40,KR,1,별이,933,5,Alteisen,Electric,7,05-16 04:07,2,851,아나키오르,278259,Moran,LB11,Neon: Vision Eye,LB11,Ade: Agent Bunny,LB06,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB11,"Moran LB11, Neon: Vision Eye LB11, Ade: Agent Bunny LB06, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB11",55621628475,No
40,KR,1,별이,933,5,Alteisen,Electric,8,05-16 03:53,2,855,나르,5091682,Anis: Star,LB11,Isabel,LB11,Arcana,LB06,Cinderella,LB11,Crown,LB11,"Anis: Star LB11, Isabel LB11, Arcana LB06, Cinderella LB11, Crown LB11",67131575068,No
40,KR,1,별이,933,5,Alteisen,Electric,9,05-16 03:35,2,822,울드,80881,Anis: Star,LB04,Neon: Vision Eye,LB04,Ade: Agent Bunny,LB07,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB04,"Anis: Star LB04, Neon: Vision Eye LB04, Ade: Agent Bunny LB07, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB04",61852716347,No
40,KR,1,별이,933,5,Alteisen,Electric,10,05-16 02:38,1,926,누드펫,2800699,Anis: Star,LB11,Crown,LB11,Neon: Vision Eye,LB10,Cinderella,LB11,Mast: Romantic Maid,LB11,"Anis: Star LB11, Crown LB11, Neon: Vision Eye LB10, Cinderella LB11, Mast: Romantic Maid LB11",90427314981,Yes
40,KR,1,별이,933,5,Alteisen,Electric,11,05-16 02:13,1,830,도오르,1712273,Anis: Star,LB04,Isabel,LB11,Arcana,LB05,Cinderella,LB11,Crown,LB11,"Anis: Star LB04, Isabel LB11, Arcana LB05, Cinderella LB11, Crown LB11",60414498619,No
40,KR,2,니삭스,5690,5,Alteisen,Electric,1,05-16 08:12,3,805,제이슨포드,287176,Moran,LB10,Ade: Agent Bunny,LB04,Neon: Vision Eye,LB03,Anis: Sparkling Summer,LB06,Maiden: Ice Rose,LB04,"Moran LB10, Ade: Agent Bunny LB04, Neon: Vision Eye LB03, Anis: Sparkling Summer LB06, Maiden: Ice Rose LB04",32009440271,Yes
40,KR,2,니삭스,5690,5,Alteisen,Electric,2,05-16 07:56,3,1041,악마,17343,Isabel,LB11,Arcana,LB11,Cinderella,LB11,Crown,LB11,Anis: Star,LB11,"Isabel LB11, Arcana LB11, Cinderella LB11, Crown LB11, Anis: Star LB11",157085166438,No
40,KR,2,니삭스,5690,5,Alteisen,Electric,3,05-16 02:34,3,821,LOUDER,277309,Moran,LB11,Ade: Agent Bunny,LB08,Neon: Vision Eye,LB04,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB04,"Moran LB11, Ade: Agent Bunny LB08, Neon: Vision Eye LB04, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB04",41839798601,No
40,KR,2,니삭스,5690,5,Alteisen,Electric,4,05-16 02:31,3,781,나루,9016191,Anis: Star,LB07,Crown,LB10,Cinderella,LB11,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB09,"Anis: Star LB07, Crown LB10, Cinderella LB11, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB09",54085181758,No
40,KR,2,니삭스,5690,5,Alteisen,Electric,5,05-16 02:27,3,821,LOUDER,277309,Isabel,LB11,Arcana,LB03,Crown,LB11,Cinderella,LB11,Anis: Star,LB07,"Isabel LB11, Arcana LB03, Crown LB11, Cinderella LB11, Anis: Star LB07",64211314432,No
40,KR,2,니삭스,5690,5,Alteisen,Electric,6,05-16 02:03,2,827,라코프,1591572,Cinderella,LB11,Ade: Agent Bunny,LB04,Anis: Star,LB04,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB11,"Cinderella LB11, Ade: Agent Bunny LB04, Anis: Star LB04, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB11",53644719536,Yes
40,KR,2,니삭스,5690,5,Alteisen,Electric,7,05-16 02:01,2,821,우이,772358,Isabel,LB11,Arcana,LB06,Cinderella,LB11,Crown,LB11,Anis: Star,LB10,"Isabel LB11, Arcana LB06, Cinderella LB11, Crown LB11, Anis: Star LB10",59793469928,No
