Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,KR,1,별이,933,6,∞,Electric,1,05-16 10:20,4,865,너잡는파리채,5753832,Little Mermaid,LB08,Mast: Romantic Maid,LB10,Neon: Vision Eye,LB06,Liberalio,LB11,Anchor: Innocent Maid,LB08,"Little Mermaid LB08, Mast: Romantic Maid LB10, Neon: Vision Eye LB06, Liberalio LB11, Anchor: Innocent Maid LB08",43032841388,No
40,KR,1,별이,933,6,∞,Electric,2,05-16 10:15,4,865,너잡는파리채,5753832,Moran,LB11,Anis: Sparkling Summer,LB11,Ade: Agent Bunny,LB05,Privaty,LB11,Maiden: Ice Rose,LB11,"Moran LB11, Anis: Sparkling Summer LB11, Ade: Agent Bunny LB05, Privaty LB11, Maiden: Ice Rose LB11",43146291069,No
40,KR,1,별이,933,6,∞,Electric,3,05-16 10:06,4,865,너잡는파리채,5753832,Anis: Star,LB04,Isabel,LB11,Arcana,LB04,Cinderella,LB11,Crown,LB11,"Anis: Star LB04, Isabel LB11, Arcana LB04, Cinderella LB11, Crown LB11",72548043729,No
40,KR,1,별이,933,6,∞,Electric,4,05-16 09:43,4,882,꽐라,208786,Little Mermaid,LB11,Mint,LB04,Neon: Vision Eye,LB09,Liberalio,LB11,Mast: Romantic Maid,LB11,"Little Mermaid LB11, Mint LB04, Neon: Vision Eye LB09, Liberalio LB11, Mast: Romantic Maid LB11",48271021923,No
40,KR,1,별이,933,6,∞,Electric,5,05-16 09:41,4,885,행크,1087255,Moran,LB07,Anis: Sparkling Summer,LB11,Ade: Agent Bunny,LB10,Maiden: Ice Rose,LB04,Privaty,LB11,"Moran LB07, Anis: Sparkling Summer LB11, Ade: Agent Bunny LB10, Maiden: Ice Rose LB04, Privaty LB11",45490229958,No
40,KR,1,별이,933,6,∞,Electric,6,05-16 09:34,4,882,꽐라,208786,Moran,LB09,Anis: Sparkling Summer,LB11,Ade: Agent Bunny,LB03,Ada,LB11,Maiden: Ice Rose,LB11,"Moran LB09, Anis: Sparkling Summer LB11, Ade: Agent Bunny LB03, Ada LB11, Maiden: Ice Rose LB11",45785972544,No
40,KR,1,별이,933,6,∞,Electric,7,05-16 09:33,4,926,누드펫,2800699,Moran,LB11,Anis: Sparkling Summer,LB11,Ade: Agent Bunny,LB11,Privaty,LB11,Maiden: Ice Rose,LB11,"Moran LB11, Anis: Sparkling Summer LB11, Ade: Agent Bunny LB11, Privaty LB11, Maiden: Ice Rose LB11",46973868237,No
40,KR,1,별이,933,6,∞,Electric,8,05-16 09:31,4,885,행크,1087255,Little Mermaid,LB11,Mint,LB01,Liberalio,LB11,Neon: Vision Eye,LB10,Mast: Romantic Maid,LB09,"Little Mermaid LB11, Mint LB01, Liberalio LB11, Neon: Vision Eye LB10, Mast: Romantic Maid LB09",46334808042,No
40,KR,1,별이,933,6,∞,Electric,9,05-16 09:30,4,956,뚜루뚜기,8721393,Isabel,LB11,Cinderella,LB11,Anis: Star,LB11,Arcana,LB11,Crown,LB11,"Isabel LB11, Cinderella LB11, Anis: Star LB11, Arcana LB11, Crown LB11",103259797204,No
40,KR,1,별이,933,6,∞,Electric,10,05-16 09:29,4,882,꼬마한량,3110620,Moran,LB11,Ade: Agent Bunny,LB08,Neon: Vision Eye,LB04,Anis: Sparkling Summer,LB05,Maiden: Ice Rose,LB04,"Moran LB11, Ade: Agent Bunny LB08, Neon: Vision Eye LB04, Anis: Sparkling Summer LB05, Maiden: Ice Rose LB04",49416068883,No
