Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,NA,1,SCARLET,4,2,Heavy Metal,Water,1,05-16 04:32,3,941,PIE,41549,Miranda,LB11,Nayuta,LB08,Snow White: Heavy Arms,LB11,Helm,LB11,Little Mermaid,LB05,"Miranda LB11, Nayuta LB08, Snow White: Heavy Arms LB11, Helm LB11, Little Mermaid LB05",61912395333,Yes
40,NA,1,SCARLET,4,2,Heavy Metal,Water,2,05-16 04:24,3,1061,VAKI,18992,Little Mermaid,LB10,Nayuta,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Mast: Romantic Maid,LB08,"Little Mermaid LB10, Nayuta LB11, Snow White: Heavy Arms LB11, Privaty LB11, Mast: Romantic Maid LB08",107274458903,No
40,NA,1,SCARLET,4,2,Heavy Metal,Water,3,05-16 04:16,3,1041,CELUDE,242630,Little Mermaid,LB11,Nayuta,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Mast: Romantic Maid,LB11,"Little Mermaid LB11, Nayuta LB11, Snow White: Heavy Arms LB11, Privaty LB11, Mast: Romantic Maid LB11",123258441514,No
40,NA,1,SCARLET,4,2,Heavy Metal,Water,4,05-16 02:02,2,1003,HISTY,972803,Miranda,LB11,Nayuta,LB11,Snow White: Heavy Arms,LB11,Ludmilla: Winter Owner,LB11,Little Mermaid,LB06,"Miranda LB11, Nayuta LB11, Snow White: Heavy Arms LB11, Ludmilla: Winter Owner LB11, Little Mermaid LB06",82458351568,Yes
40,NA,1,SCARLET,4,2,Heavy Metal,Water,5,05-16 01:54,2,864,MURLOCKS,1066112,Nayuta,LB09,Little Mermaid,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Mast: Romantic Maid,LB05,"Nayuta LB09, Little Mermaid LB11, Snow White: Heavy Arms LB11, Privaty LB11, Mast: Romantic Maid LB05",67326067232,No
40,NA,1,SCARLET,4,2,Heavy Metal,Water,6,05-15 23:59,1,804,MECH,166530,Miranda,LB11,Nayuta,LB04,Snow White: Heavy Arms,LB04,Ludmilla: Winter Owner,LB04,Little Mermaid,LB04,"Miranda LB11, Nayuta LB04, Snow White: Heavy Arms LB04, Ludmilla: Winter Owner LB04, Little Mermaid LB04",34194061618,Yes
40,NA,1,SCARLET,4,2,Heavy Metal,Water,7,05-15 23:30,1,861,TRINHUV,1433030,Little Mermaid,LB11,Nayuta,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Mast: Romantic Maid,LB11,"Little Mermaid LB11, Nayuta LB11, Snow White: Heavy Arms LB11, Privaty LB11, Mast: Romantic Maid LB11",65662217582,No
40,NA,2,極楽浄土,969,2,Heavy Metal,Water,1,05-16 07:18,3,1084,张梦溪,112397,Miranda,LB11,Nayuta,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Little Mermaid,LB11,"Miranda LB11, Nayuta LB11, Snow White: Heavy Arms LB11, Privaty LB11, Little Mermaid LB11",140787144641,Yes
40,NA,2,極楽浄土,969,2,Heavy Metal,Water,2,05-16 06:58,3,1063,雨幕幕,2959083,Miranda,LB11,Nayuta,LB11,Snow White: Heavy Arms,LB11,Privaty,LB11,Little Mermaid,LB11,"Miranda LB11, Nayuta LB11, Snow White: Heavy Arms LB11, Privaty LB11, Little Mermaid LB11",151658151109,No
40,NA,2,極楽浄土,969,2,Heavy Metal,Water,3,05-16 02:26,2,901,猪猪团子,102533,Zwei,LB10,Mint,LB01,Snow White: Heavy Arms,LB11,Privaty,LB11,Little Mermaid,LB11,"Zwei LB10, Mint LB01, Snow White: Heavy Arms LB11, Privaty LB11, Little Mermaid LB11",70780519784,Yes
