Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,NA,1,SCARLET,4,4,Rebuild Vulcan R,Iron,1,05-16 05:10,3,1064,KERIPO,6050,Rapi: Red Hood,LB11,Raven,LB11,Little Mermaid,LB11,Nayuta,LB11,Helm: Aquamarine,LB04,"Rapi: Red Hood LB11, Raven LB11, Little Mermaid LB11, Nayuta LB11, Helm: Aquamarine LB04",66865082225,Yes
40,NA,1,SCARLET,4,4,Rebuild Vulcan R,Iron,2,05-16 04:40,3,925,DANE,4050588,Crown,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Raven,LB11,Helm: Aquamarine,LB04,"Crown LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Raven LB11, Helm: Aquamarine LB04",73141521358,No
40,NA,1,SCARLET,4,4,Rebuild Vulcan R,Iron,3,05-16 04:23,3,923,JEFF,9461,Rapi: Red Hood,LB11,EVE,LB11,Little Mermaid,LB11,Nayuta,LB10,Privaty,LB11,"Rapi: Red Hood LB11, EVE LB11, Little Mermaid LB11, Nayuta LB10, Privaty LB11",66726070058,No
40,NA,1,SCARLET,4,4,Rebuild Vulcan R,Iron,4,05-16 04:12,3,1021,NOLAR,2488,Rapi: Red Hood,LB11,EVE,LB11,Little Mermaid,LB11,Nayuta,LB11,Helm: Aquamarine,LB11,"Rapi: Red Hood LB11, EVE LB11, Little Mermaid LB11, Nayuta LB11, Helm: Aquamarine LB11",85712622109,No
40,NA,1,SCARLET,4,4,Rebuild Vulcan R,Iron,5,05-16 02:28,2,981,PSYDER,560531,Nayuta,LB11,Rapi: Red Hood,LB11,Red Hood,LB11,Privaty,LB11,Little Mermaid,LB11,"Nayuta LB11, Rapi: Red Hood LB11, Red Hood LB11, Privaty LB11, Little Mermaid LB11",61008078227,Yes
40,NA,1,SCARLET,4,4,Rebuild Vulcan R,Iron,6,05-16 02:12,2,1036,卡提希娅,4970202,Nayuta,LB11,Privaty,LB11,Little Mermaid,LB11,Rapi: Red Hood,LB11,Raven,LB04,"Nayuta LB11, Privaty LB11, Little Mermaid LB11, Rapi: Red Hood LB11, Raven LB04",88776340573,No
40,NA,1,SCARLET,4,4,Rebuild Vulcan R,Iron,7,05-15 22:57,1,901,JONATHAN,5202216,Rapi: Red Hood,LB11,EVE,LB11,Little Mermaid,LB11,Nayuta,LB11,Privaty,LB11,"Rapi: Red Hood LB11, EVE LB11, Little Mermaid LB11, Nayuta LB11, Privaty LB11",53548223279,Yes
40,NA,1,SCARLET,4,4,Rebuild Vulcan R,Iron,8,05-15 22:46,1,843,ATTICUS,1240438,Nayuta,LB06,Privaty,LB11,Little Mermaid,LB11,Rapi: Red Hood,LB11,EVE,LB11,"Nayuta LB06, Privaty LB11, Little Mermaid LB11, Rapi: Red Hood LB11, EVE LB11",46308055921,No
40,NA,2,極楽浄土,969,4,Rebuild Vulcan R,Iron,1,05-16 05:32,3,1001,HARU,241187,Nayuta,LB09,Rapi: Red Hood,LB11,Little Mermaid,LB08,Raven,LB04,Mast: Romantic Maid,LB05,"Nayuta LB09, Rapi: Red Hood LB11, Little Mermaid LB08, Raven LB04, Mast: Romantic Maid LB05",71878434180,Yes
40,NA,2,極楽浄土,969,4,Rebuild Vulcan R,Iron,2,05-16 05:23,3,802,RAINUS,135945,Nayuta,LB05,Rapi: Red Hood,LB11,Little Mermaid,LB05,Raven,LB09,Privaty,LB11,"Nayuta LB05, Rapi: Red Hood LB11, Little Mermaid LB05, Raven LB09, Privaty LB11",46356161761,No
40,NA,2,極楽浄土,969,4,Rebuild Vulcan R,Iron,3,05-16 05:10,3,815,NUKEARK,204905,Nayuta,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Raven,LB11,Privaty,LB11,"Nayuta LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Raven LB11, Privaty LB11",46148590865,No
40,NA,2,極楽浄土,969,4,Rebuild Vulcan R,Iron,4,05-16 03:50,3,1075,琉华桑,30143,Crown,LB11,Rapi: Red Hood,LB11,Little Mermaid,LB11,Raven,LB11,Privaty,LB11,"Crown LB11, Rapi: Red Hood LB11, Little Mermaid LB11, Raven LB11, Privaty LB11",128062108944,No
40,NA,2,極楽浄土,969,4,Rebuild Vulcan R,Iron,5,05-16 02:51,2,921,买号卖号找嗔,11878,Nayuta,LB01,Rapi: Red Hood,LB11,Little Mermaid,LB11,Raven,LB11,Privaty,LB11,"Nayuta LB01, Rapi: Red Hood LB11, Little Mermaid LB11, Raven LB11, Privaty LB11",64106955570,Yes
40,NA,2,極楽浄土,969,4,Rebuild Vulcan R,Iron,6,05-16 02:44,2,794,EZER,35902,Nayuta,LB03,Rapi: Red Hood,LB11,Little Mermaid,LB01,Raven,LB10,Privaty,LB11,"Nayuta LB03, Rapi: Red Hood LB11, Little Mermaid LB01, Raven LB10, Privaty LB11",43305456755,No
40,NA,2,極楽浄土,969,4,Rebuild Vulcan R,Iron,7,05-16 02:35,2,822,NIEGOIST,2212,Nayuta,LB08,Rapi: Red Hood,LB10,Little Mermaid,LB11,Snow White: Heavy Arms,LB10,Privaty,LB11,"Nayuta LB08, Rapi: Red Hood LB10, Little Mermaid LB11, Snow White: Heavy Arms LB10, Privaty LB11",42372006475,No
40,NA,2,極楽浄土,969,4,Rebuild Vulcan R,Iron,8,05-15 21:30,1,1075,琉华桑,30143,Zwei,LB11,Mint,LB11,Snow White,LB11,Red Hood,LB11,Helm: Aquamarine,LB11,"Zwei LB11, Mint LB11, Snow White LB11, Red Hood LB11, Helm: Aquamarine LB11",99856279200,Yes
40,NA,3,AZURESKY,163,4,Rebuild Vulcan R,Iron,1,05-16 17:05,3,815,KITE,287979,Rapi: Red Hood,LB11,EVE,LB05,Helm,LB11,Liter,LB11,Crown,LB11,"Rapi: Red Hood LB11, EVE LB05, Helm LB11, Liter LB11, Crown LB11",34291470034,Yes
