Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,NA,1,SCARLET,4,5,Alteisen,Electric,1,05-16 08:38,3,861,TRINHUV,1433030,Anis: Sparkling Summer,LB11,Neon: Vision Eye,LB11,Maiden: Ice Rose,LB11,Ade: Agent Bunny,LB07,Moran,LB11,"Anis: Sparkling Summer LB11, Neon: Vision Eye LB11, Maiden: Ice Rose LB11, Ade: Agent Bunny LB07, Moran LB11",52868420627,Yes
40,NA,1,SCARLET,4,5,Alteisen,Electric,2,05-16 07:24,3,881,SOTIKE,442437,Isabel,LB11,Anis: Star,LB05,Arcana,LB03,Crown,LB11,Cinderella,LB11,"Isabel LB11, Anis: Star LB05, Arcana LB03, Crown LB11, Cinderella LB11",73168115401,No
40,NA,1,SCARLET,4,5,Alteisen,Electric,3,05-16 07:17,3,925,DANE,4050588,Moran,LB11,Anis: Sparkling Summer,LB11,Ade: Agent Bunny,LB08,Neon: Vision Eye,LB04,Maiden: Ice Rose,LB05,"Moran LB11, Anis: Sparkling Summer LB11, Ade: Agent Bunny LB08, Neon: Vision Eye LB04, Maiden: Ice Rose LB05",63957299723,No
40,NA,1,SCARLET,4,5,Alteisen,Electric,4,05-16 06:50,3,925,DANE,4050588,Isabel,LB08,Anis: Star,LB11,Cinderella,LB11,Arcana,LB01,Nayuta,LB04,"Isabel LB08, Anis: Star LB11, Cinderella LB11, Arcana LB01, Nayuta LB04",83025149517,No
40,NA,1,SCARLET,4,5,Alteisen,Electric,5,05-16 05:19,3,925,SCARLET,6502,Crown,LB11,Anis: Star,LB11,Maiden: Ice Rose,LB11,Neon: Vision Eye,LB10,Mast: Romantic Maid,LB11,"Crown LB11, Anis: Star LB11, Maiden: Ice Rose LB11, Neon: Vision Eye LB10, Mast: Romantic Maid LB11",76211916232,No
40,NA,1,SCARLET,4,5,Alteisen,Electric,6,05-16 04:00,2,787,YOUWHAT,518891,Tove,LB11,Leona,LB11,Privaty: Unkind Maid,LB11,Drake,LB11,Noir,LB11,"Tove LB11, Leona LB11, Privaty: Unkind Maid LB11, Drake LB11, Noir LB11",3214890571,Yes
40,NA,1,SCARLET,4,5,Alteisen,Electric,7,05-16 03:51,2,881,HARLOT,801635,Isabel,LB11,Anis: Star,LB11,Arcana,LB02,Crown,LB11,Cinderella,LB11,"Isabel LB11, Anis: Star LB11, Arcana LB02, Crown LB11, Cinderella LB11",77370265406,No
40,NA,1,SCARLET,4,5,Alteisen,Electric,8,05-16 03:50,2,861,TRINHUV,1433030,Isabel,LB11,Anis: Star,LB11,Cinderella,LB11,Arcana,LB11,Crown,LB11,"Isabel LB11, Anis: Star LB11, Cinderella LB11, Arcana LB11, Crown LB11",85878629737,No
40,NA,1,SCARLET,4,5,Alteisen,Electric,9,05-16 02:13,2,925,SCARLET,6502,Moran,LB11,Cinderella,LB11,Ade: Agent Bunny,LB11,Anis: Sparkling Summer,LB11,Privaty,LB11,"Moran LB11, Cinderella LB11, Ade: Agent Bunny LB11, Anis: Sparkling Summer LB11, Privaty LB11",59798934686,No
40,NA,1,SCARLET,4,5,Alteisen,Electric,10,05-16 01:46,1,871,NARSET,3644325,Anis: Sparkling Summer,LB11,Moran,LB11,Maiden: Ice Rose,LB04,Ade: Agent Bunny,LB02,Privaty,LB11,"Anis: Sparkling Summer LB11, Moran LB11, Maiden: Ice Rose LB04, Ade: Agent Bunny LB02, Privaty LB11",36441610391,Yes
40,NA,1,SCARLET,4,5,Alteisen,Electric,11,05-16 00:57,1,947,BRANDON,92325,Anis: Sparkling Summer,LB11,Moran,LB11,Maiden: Ice Rose,LB04,Ade: Agent Bunny,LB06,Privaty,LB11,"Anis: Sparkling Summer LB11, Moran LB11, Maiden: Ice Rose LB04, Ade: Agent Bunny LB06, Privaty LB11",55306431686,No
40,NA,1,SCARLET,4,5,Alteisen,Electric,12,05-16 00:39,1,926,LOGIC,3935420,Anis: Sparkling Summer,LB11,Neon: Vision Eye,LB07,Maiden: Ice Rose,LB11,Ade: Agent Bunny,LB11,Moran,LB11,"Anis: Sparkling Summer LB11, Neon: Vision Eye LB07, Maiden: Ice Rose LB11, Ade: Agent Bunny LB11, Moran LB11",59093771523,No
40,NA,2,極楽浄土,969,5,Alteisen,Electric,1,05-16 06:33,3,901,BYACE,16932,Isabel,LB11,Arcana,LB05,Cinderella,LB10,Anis: Star,LB01,Crown,LB07,"Isabel LB11, Arcana LB05, Cinderella LB10, Anis: Star LB01, Crown LB07",78760537076,Yes
40,NA,2,極楽浄土,969,5,Alteisen,Electric,2,05-16 06:11,3,901,葉可,54420,Isabel,LB11,Arcana,LB05,Cinderella,LB11,Anis: Star,LB07,Crown,LB08,"Isabel LB11, Arcana LB05, Cinderella LB11, Anis: Star LB07, Crown LB08",83374609395,No
40,NA,2,極楽浄土,969,5,Alteisen,Electric,3,05-16 05:58,3,916,0GURICAP,129400,Nayuta,LB11,Anis: Sparkling Summer,LB07,Anis: Star,LB11,Cinderella,LB11,Maiden: Ice Rose,LB04,"Nayuta LB11, Anis: Sparkling Summer LB07, Anis: Star LB11, Cinderella LB11, Maiden: Ice Rose LB04",78416999410,No
40,NA,2,極楽浄土,969,5,Alteisen,Electric,4,05-16 03:58,3,1075,琉华桑,30143,Nayuta,LB11,Neon: Vision Eye,LB08,Anis: Star,LB11,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB11,"Nayuta LB11, Neon: Vision Eye LB08, Anis: Star LB11, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB11",108678755619,No
