Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,NA,1,SCARLET,4,6,∞,Electric,1,05-16 20:25,4,1077,KIRA,1705703,Miranda,LB11,Takina,LB11,Ein,LB11,Ada,LB11,Little Mermaid,LB11,"Miranda LB11, Takina LB11, Ein LB11, Ada LB11, Little Mermaid LB11",89809514161,No
40,NA,1,SCARLET,4,6,∞,Electric,2,05-16 19:21,4,1077,KIRA,1705703,Moran,LB11,Anis: Sparkling Summer,LB11,Ade: Agent Bunny,LB11,Neon: Vision Eye,LB11,Maiden: Ice Rose,LB11,"Moran LB11, Anis: Sparkling Summer LB11, Ade: Agent Bunny LB11, Neon: Vision Eye LB11, Maiden: Ice Rose LB11",127431913188,No
40,NA,1,SCARLET,4,6,∞,Electric,3,05-16 19:02,4,1077,KIRA,1705703,Isabel,LB11,Anis: Star,LB11,Cinderella,LB11,Arcana,LB11,Crown,LB11,"Isabel LB11, Anis: Star LB11, Cinderella LB11, Arcana LB11, Crown LB11",181019086118,No
40,NA,1,SCARLET,4,6,∞,Electric,4,05-16 17:59,4,861,IAMF2P,3172,Isabel,LB11,Anis: Star,LB10,Cinderella,LB11,Arcana,LB04,Crown,LB11,"Isabel LB11, Anis: Star LB10, Cinderella LB11, Arcana LB04, Crown LB11",78651225867,No
40,NA,1,SCARLET,4,6,∞,Electric,5,05-16 17:18,4,901,PRINCE,1483030,Cinderella,LB11,Anis: Star,LB09,Maiden: Ice Rose,LB11,Crown,LB11,Mast: Romantic Maid,LB09,"Cinderella LB11, Anis: Star LB09, Maiden: Ice Rose LB11, Crown LB11, Mast: Romantic Maid LB09",75007565209,No
40,NA,1,SCARLET,4,6,∞,Electric,6,05-16 17:05,4,926,LOGIC,3935420,Isabel,LB11,Anis: Star,LB11,Cinderella,LB11,Arcana,LB11,Crown,LB11,"Isabel LB11, Anis: Star LB11, Cinderella LB11, Arcana LB11, Crown LB11",93776064506,No
40,NA,1,SCARLET,4,6,∞,Electric,7,05-16 16:54,4,864,MURLOCKS,1066112,Isabel,LB11,Cinderella,LB11,Anis: Star,LB11,Arcana,LB04,Crown,LB11,"Isabel LB11, Cinderella LB11, Anis: Star LB11, Arcana LB04, Crown LB11",77781167902,No
40,NA,1,SCARLET,4,6,∞,Electric,8,05-16 16:45,4,923,JEFF,9461,Isabel,LB11,Anis: Star,LB10,Cinderella,LB11,Arcana,LB08,Crown,LB11,"Isabel LB11, Anis: Star LB10, Cinderella LB11, Arcana LB08, Crown LB11",99389693605,No
40,NA,1,SCARLET,4,6,∞,Electric,9,05-16 16:39,4,941,PIE,41549,Moran,LB11,Anis: Sparkling Summer,LB11,Neon: Vision Eye,LB11,Ade: Agent Bunny,LB04,Privaty,LB11,"Moran LB11, Anis: Sparkling Summer LB11, Neon: Vision Eye LB11, Ade: Agent Bunny LB04, Privaty LB11",70488016809,No
40,NA,1,SCARLET,4,6,∞,Electric,10,05-16 16:29,4,941,PIE,41549,Cinderella,LB11,Crown,LB11,Anis: Star,LB11,Maiden: Ice Rose,LB04,Mast: Romantic Maid,LB07,"Cinderella LB11, Crown LB11, Anis: Star LB11, Maiden: Ice Rose LB04, Mast: Romantic Maid LB07",87816520651,No
