Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,SEA,1,F2P,4496,1,Mace,Wind,1,05-16 14:40,3,821,B4CONZ,368997,Nayuta,LB11,Scarlet: Black Shadow,LB11,Moran,LB11,Liberalio,LB11,Mast: Romantic Maid,LB11,"Nayuta LB11, Scarlet: Black Shadow LB11, Moran LB11, Liberalio LB11, Mast: Romantic Maid LB11",45364440282,Yes
40,SEA,1,F2P,4496,1,Mace,Wind,2,05-16 14:03,3,844,ALCATRAZ,67478,Liter,LB11,Scarlet: Black Shadow,LB11,Nayuta,LB06,Liberalio,LB11,Mast: Romantic Maid,LB11,"Liter LB11, Scarlet: Black Shadow LB11, Nayuta LB06, Liberalio LB11, Mast: Romantic Maid LB11",57519096646,No
40,SEA,1,F2P,4496,1,Mace,Wind,3,05-16 12:36,3,805,ARROWED,73,Nayuta,LB06,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB04,Velvet,LB03,"Nayuta LB06, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB04, Velvet LB03",55756898610,No
40,SEA,1,F2P,4496,1,Mace,Wind,4,05-16 12:26,3,782,SUNQUIT,992467,Nayuta,LB11,Scarlet: Black Shadow,LB11,Liberalio,LB11,Little Mermaid,LB11,Velvet,LB09,"Nayuta LB11, Scarlet: Black Shadow LB11, Liberalio LB11, Little Mermaid LB11, Velvet LB09",64862342786,No
40,SEA,1,F2P,4496,1,Mace,Wind,5,05-16 12:22,3,801,KANO,1967984,Nayuta,LB11,Scarlet: Black Shadow,LB11,Little Mermaid,LB11,Liberalio,LB11,Velvet,LB02,"Nayuta LB11, Scarlet: Black Shadow LB11, Little Mermaid LB11, Liberalio LB11, Velvet LB02",68942517426,No
40,SEA,1,F2P,4496,1,Mace,Wind,6,05-16 10:45,2,774,MINUET59,82790,Nayuta,LB03,Scarlet: Black Shadow,LB11,Little Mermaid,LB06,Liberalio,LB11,Velvet,LB02,"Nayuta LB03, Scarlet: Black Shadow LB11, Little Mermaid LB06, Liberalio LB11, Velvet LB02",48383171014,Yes
40,SEA,1,F2P,4496,1,Mace,Wind,7,05-16 10:34,2,798,BEER,211245,Nayuta,LB05,Scarlet: Black Shadow,LB11,Little Mermaid,LB04,Liberalio,LB09,Velvet,LB02,"Nayuta LB05, Scarlet: Black Shadow LB11, Little Mermaid LB04, Liberalio LB09, Velvet LB02",50637097520,No
40,SEA,1,F2P,4496,1,Mace,Wind,8,05-16 10:09,2,728,LARCHZ,74644,Scarlet: Black Shadow,LB11,Nayuta,LB08,Little Mermaid,LB11,Velvet,LB04,Liberalio,LB11,"Scarlet: Black Shadow LB11, Nayuta LB08, Little Mermaid LB11, Velvet LB04, Liberalio LB11",50764150266,No
40,SEA,1,F2P,4496,1,Mace,Wind,9,05-16 07:59,1,770,SSOULS,590909,Nayuta,LB04,Scarlet: Black Shadow,LB06,Little Mermaid,LB06,Liberalio,LB06,Velvet,LB01,"Nayuta LB04, Scarlet: Black Shadow LB06, Little Mermaid LB06, Liberalio LB06, Velvet LB01",47551293171,Yes
40,SEA,1,F2P,4496,1,Mace,Wind,10,05-16 07:52,1,771,EROだよ,790198,Nayuta,LB11,Scarlet: Black Shadow,LB06,Little Mermaid,LB06,Liberalio,LB07,Velvet,LB04,"Nayuta LB11, Scarlet: Black Shadow LB06, Little Mermaid LB06, Liberalio LB07, Velvet LB04",52304986029,No
