Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,SEA,1,F2P,4496,2,Heavy Metal,Water,1,05-16 13:47,3,785,NOKAZE,193271,Ade: Agent Bunny,LB06,Moran,LB11,Snow White: Heavy Arms,LB03,Dorothy: Serendipity,LB01,Privaty,LB11,"Ade: Agent Bunny LB06, Moran LB11, Snow White: Heavy Arms LB03, Dorothy: Serendipity LB01, Privaty LB11",34586124491,Yes
40,SEA,1,F2P,4496,2,Heavy Metal,Water,2,05-16 13:41,3,754,SISTINE,2161507,Nayuta,LB04,Moran,LB05,Snow White: Heavy Arms,LB01,Dorothy: Serendipity,LB04,Privaty,LB11,"Nayuta LB04, Moran LB05, Snow White: Heavy Arms LB01, Dorothy: Serendipity LB04, Privaty LB11",36488057225,No
40,SEA,1,F2P,4496,2,Heavy Metal,Water,3,05-16 13:32,3,754,DESTINY,1130753,Nayuta,LB01,Little Mermaid,LB03,Snow White: Heavy Arms,LB04,Dorothy: Serendipity,LB04,Privaty,LB11,"Nayuta LB01, Little Mermaid LB03, Snow White: Heavy Arms LB04, Dorothy: Serendipity LB04, Privaty LB11",34220169608,No
40,SEA,1,F2P,4496,2,Heavy Metal,Water,4,05-16 13:12,3,814,内田真礼,2313260,Nayuta,LB10,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB11,Little Mermaid,LB11,Privaty,LB11,"Nayuta LB10, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB11, Little Mermaid LB11, Privaty LB11",60286236513,No
40,SEA,1,F2P,4496,2,Heavy Metal,Water,5,05-16 12:52,3,1062,MOJOJOJO,1237192,Moran,LB11,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB11,Nayuta,LB11,Privaty,LB11,"Moran LB11, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB11, Nayuta LB11, Privaty LB11",126864707913,No
40,SEA,1,F2P,4496,2,Heavy Metal,Water,6,05-16 11:58,2,833,DADDYX,5158160,Moran,LB11,Ade: Agent Bunny,LB11,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB11,Privaty,LB11,"Moran LB11, Ade: Agent Bunny LB11, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB11, Privaty LB11",50404098867,Yes
40,SEA,1,F2P,4496,2,Heavy Metal,Water,7,05-16 11:51,2,827,QFU,17783,Moran,LB10,Nayuta,LB06,Snow White: Heavy Arms,LB04,Dorothy: Serendipity,LB06,Privaty,LB11,"Moran LB10, Nayuta LB06, Snow White: Heavy Arms LB04, Dorothy: Serendipity LB06, Privaty LB11",48710288894,No
40,SEA,1,F2P,4496,2,Heavy Metal,Water,8,05-16 11:08,2,801,STRANGER,393115,Nayuta,LB06,Little Mermaid,LB05,Snow White: Heavy Arms,LB04,Dorothy: Serendipity,LB11,Privaty,LB11,"Nayuta LB06, Little Mermaid LB05, Snow White: Heavy Arms LB04, Dorothy: Serendipity LB11, Privaty LB11",50670031039,No
40,SEA,1,F2P,4496,2,Heavy Metal,Water,9,05-16 09:56,1,784,LB,2117751,Little Mermaid,LB05,Nayuta,LB10,Snow White: Heavy Arms,LB04,Dorothy: Serendipity,LB11,Privaty,LB11,"Little Mermaid LB05, Nayuta LB10, Snow White: Heavy Arms LB04, Dorothy: Serendipity LB11, Privaty LB11",47667961771,Yes
40,SEA,1,F2P,4496,2,Heavy Metal,Water,10,05-16 09:50,1,814,TARNIE,139299,Nayuta,LB09,Snow White: Heavy Arms,LB10,Little Mermaid,LB07,Dorothy: Serendipity,LB09,Privaty,LB11,"Nayuta LB09, Snow White: Heavy Arms LB10, Little Mermaid LB07, Dorothy: Serendipity LB09, Privaty LB11",52188317429,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,1,05-16 09:23,3,701,STORY,558169,Crown,LB11,Mast: Romantic Maid,LB03,Snow White: Heavy Arms,LB01,Privaty,LB11,Anis: Star,LB01,"Crown LB11, Mast: Romantic Maid LB03, Snow White: Heavy Arms LB01, Privaty LB11, Anis: Star LB01",25535800412,Yes
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,2,05-16 08:54,3,797,REDD,255084,Privaty,LB11,Snow White: Heavy Arms,LB05,Moran,LB09,Crown,LB11,Ludmilla: Winter Owner,LB01,"Privaty LB11, Snow White: Heavy Arms LB05, Moran LB09, Crown LB11, Ludmilla: Winter Owner LB01",35541030982,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,3,05-16 08:48,3,756,LICKYCHA,3368139,Anis: Star,LB11,Nayuta,LB05,Snow White: Heavy Arms,LB03,Privaty,LB11,Elegg: Boom and Shock,LB01,"Anis: Star LB11, Nayuta LB05, Snow White: Heavy Arms LB03, Privaty LB11, Elegg: Boom and Shock LB01",32066265113,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,4,05-16 08:43,3,808,LUCIDITY,415598,Nayuta,LB08,Snow White: Heavy Arms,LB02,Moran,LB09,Privaty,LB11,Ludmilla: Winter Owner,LB11,"Nayuta LB08, Snow White: Heavy Arms LB02, Moran LB09, Privaty LB11, Ludmilla: Winter Owner LB11",41972438603,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,5,05-16 08:30,3,770,CALVIN,3891637,Nayuta,LB09,Snow White: Heavy Arms,LB11,Moran,LB11,Privaty,LB11,Ludmilla: Winter Owner,LB04,"Nayuta LB09, Snow White: Heavy Arms LB11, Moran LB11, Privaty LB11, Ludmilla: Winter Owner LB04",43828250791,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,6,05-16 08:17,3,805,CRRSTLE,1521372,Ludmilla: Winter Owner,LB11,Snow White: Heavy Arms,LB09,Miranda,LB11,Nayuta,LB09,Little Mermaid,LB11,"Ludmilla: Winter Owner LB11, Snow White: Heavy Arms LB09, Miranda LB11, Nayuta LB09, Little Mermaid LB11",49425759204,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,7,05-16 08:06,3,846,NINTY,360061,Nayuta,LB11,Snow White: Heavy Arms,LB11,Moran,LB11,Privaty,LB11,Mast: Romantic Maid,LB11,"Nayuta LB11, Snow White: Heavy Arms LB11, Moran LB11, Privaty LB11, Mast: Romantic Maid LB11",64075750645,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,8,05-16 05:37,2,740,BANANA,1599739,Nayuta,LB06,Moran,LB05,Snow White: Heavy Arms,LB11,Privaty,LB11,Mast: Romantic Maid,LB04,"Nayuta LB06, Moran LB05, Snow White: Heavy Arms LB11, Privaty LB11, Mast: Romantic Maid LB04",35208531857,Yes
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,9,05-16 05:25,2,764,YABEE,4739282,Liter,LB11,Helm,LB11,Snow White: Heavy Arms,LB08,Grave,LB08,Elegg: Boom and Shock,LB01,"Liter LB11, Helm LB11, Snow White: Heavy Arms LB08, Grave LB08, Elegg: Boom and Shock LB01",35965686632,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,10,05-16 03:04,2,763,HESY,255786,Miranda,LB11,Nayuta,LB01,Snow White: Heavy Arms,LB04,Ludmilla: Winter Owner,LB11,Little Mermaid,LB03,"Miranda LB11, Nayuta LB01, Snow White: Heavy Arms LB04, Ludmilla: Winter Owner LB11, Little Mermaid LB03",37132683177,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,11,05-16 02:41,2,756,謝拉尔夫,788912,Privaty,LB11,Snow White: Heavy Arms,LB11,Moran,LB05,Nayuta,LB11,Mast: Romantic Maid,LB05,"Privaty LB11, Snow White: Heavy Arms LB11, Moran LB05, Nayuta LB11, Mast: Romantic Maid LB05",41477517134,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,12,05-16 01:43,1,789,CINATRA,445875,Nayuta,LB06,Liter,LB11,Snow White: Heavy Arms,LB04,Helm,LB11,Elegg: Boom and Shock,LB03,"Nayuta LB06, Liter LB11, Snow White: Heavy Arms LB04, Helm LB11, Elegg: Boom and Shock LB03",35158316405,Yes
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,13,05-16 01:35,1,759,SALVARAZ,51390,Nayuta,LB09,Moran,LB07,Snow White: Heavy Arms,LB11,Privaty,LB11,Mast: Romantic Maid,LB11,"Nayuta LB09, Moran LB07, Snow White: Heavy Arms LB11, Privaty LB11, Mast: Romantic Maid LB11",37167917766,No
40,SEA,2,CAMELOTT,6254,2,Heavy Metal,Water,14,05-15 23:58,1,694,NEMURU,1275470,Crown,LB06,Liter,LB11,Snow White: Heavy Arms,LB04,Helm,LB05,Mast: Romantic Maid,LB03,"Crown LB06, Liter LB11, Snow White: Heavy Arms LB04, Helm LB05, Mast: Romantic Maid LB03",27530045029,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,1,05-16 11:23,3,801,贡丸,65197,Anis: Star,LB04,Crown,LB11,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB11,Mast: Romantic Maid,LB10,"Anis: Star LB04, Crown LB11, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB11, Mast: Romantic Maid LB10",41661344161,Yes
40,SEA,3,花天月地,92,2,Heavy Metal,Water,2,05-16 11:12,3,862,晓辉,8036,Little Mermaid,LB07,Mint,LB11,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB11,Privaty,LB11,"Little Mermaid LB07, Mint LB11, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB11, Privaty LB11",66392169314,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,3,05-16 11:09,3,744,AD斯卡帕,660183,Anis: Star,LB05,Crown,LB11,Snow White: Heavy Arms,LB05,Dorothy: Serendipity,LB04,Mast: Romantic Maid,LB10,"Anis: Star LB05, Crown LB11, Snow White: Heavy Arms LB05, Dorothy: Serendipity LB04, Mast: Romantic Maid LB10",43693702019,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,4,05-16 10:49,3,797,REQUIEM,2580645,Liter,LB11,Dorothy: Serendipity,LB11,Ade: Agent Bunny,LB05,Snow White: Heavy Arms,LB11,Privaty,LB11,"Liter LB11, Dorothy: Serendipity LB11, Ade: Agent Bunny LB05, Snow White: Heavy Arms LB11, Privaty LB11",38519104995,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,5,05-16 10:22,3,765,USER31047,31047,Moran,LB08,Ade: Agent Bunny,LB04,Snow White: Heavy Arms,LB03,Dorothy: Serendipity,LB02,Privaty,LB08,"Moran LB08, Ade: Agent Bunny LB04, Snow White: Heavy Arms LB03, Dorothy: Serendipity LB02, Privaty LB08",35695951525,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,6,05-16 09:25,3,723,HAHAHA,482732,Moran,LB05,Nayuta,LB01,Snow White: Heavy Arms,LB04,Dorothy: Serendipity,LB02,Privaty,LB10,"Moran LB05, Nayuta LB01, Snow White: Heavy Arms LB04, Dorothy: Serendipity LB02, Privaty LB10",30203787504,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,7,05-16 09:16,3,780,里奇,366322,Moran,LB11,Ade: Agent Bunny,LB03,Snow White: Heavy Arms,LB04,Dorothy: Serendipity,LB05,Privaty,LB11,"Moran LB11, Ade: Agent Bunny LB03, Snow White: Heavy Arms LB04, Dorothy: Serendipity LB05, Privaty LB11",36279236232,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,8,05-16 08:21,2,767,赫赫白泽,2921424,Moran,LB10,Ade: Agent Bunny,LB05,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB11,Elegg: Boom and Shock,LB02,"Moran LB10, Ade: Agent Bunny LB05, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB11, Elegg: Boom and Shock LB02",37022209391,Yes
40,SEA,3,花天月地,92,2,Heavy Metal,Water,9,05-16 06:58,2,758,NOSTA,184517,Crown,LB07,Moran,LB09,Snow White: Heavy Arms,LB04,Dorothy: Serendipity,LB04,Privaty,LB11,"Crown LB07, Moran LB09, Snow White: Heavy Arms LB04, Dorothy: Serendipity LB04, Privaty LB11",35926335548,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,10,05-16 06:56,2,763,EL,1012310,Anis: Star,LB01,Crown,LB09,Snow White: Heavy Arms,LB01,Dorothy: Serendipity,LB01,Mast: Romantic Maid,LB03,"Anis: Star LB01, Crown LB09, Snow White: Heavy Arms LB01, Dorothy: Serendipity LB01, Mast: Romantic Maid LB03",38465554427,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,11,05-16 06:55,2,804,緋月,3137423,Moran,LB11,Ade: Agent Bunny,LB05,Snow White: Heavy Arms,LB11,Dorothy: Serendipity,LB06,Privaty,LB11,"Moran LB11, Ade: Agent Bunny LB05, Snow White: Heavy Arms LB11, Dorothy: Serendipity LB06, Privaty LB11",38370319434,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,12,05-16 04:54,1,782,晨光,1915306,Moran,LB04,Ade: Agent Bunny,LB01,Snow White: Heavy Arms,LB05,Dorothy: Serendipity,LB04,Privaty,LB11,"Moran LB04, Ade: Agent Bunny LB01, Snow White: Heavy Arms LB05, Dorothy: Serendipity LB04, Privaty LB11",33006122502,Yes
40,SEA,3,花天月地,92,2,Heavy Metal,Water,13,05-16 04:44,1,727,ALP,5414986,Moran,LB09,Ade: Agent Bunny,LB02,Dorothy: Serendipity,LB04,Snow White: Heavy Arms,LB03,Privaty,LB10,"Moran LB09, Ade: Agent Bunny LB02, Dorothy: Serendipity LB04, Snow White: Heavy Arms LB03, Privaty LB10",29403755601,No
40,SEA,3,花天月地,92,2,Heavy Metal,Water,14,05-16 04:13,1,761,LOSS为NAN,227230,Moran,LB11,Ade: Agent Bunny,LB08,Snow White: Heavy Arms,LB02,Dorothy: Serendipity,LB06,Privaty,LB08,"Moran LB11, Ade: Agent Bunny LB08, Snow White: Heavy Arms LB02, Dorothy: Serendipity LB06, Privaty LB08",37446401097,No
