Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,SEA,1,F2P,4496,3,Modernia,Fire,1,05-16 15:22,3,743,EXZKA,229129,Brid: Silent Track,LB01,Rapi: Red Hood,LB09,Little Mermaid,LB08,Diesel: Winter Sweets,LB02,Mihara: Bonding Chain,LB07,"Brid: Silent Track LB01, Rapi: Red Hood LB09, Little Mermaid LB08, Diesel: Winter Sweets LB02, Mihara: Bonding Chain LB07",14242549884,Yes
40,SEA,1,F2P,4496,3,Modernia,Fire,2,05-16 15:21,3,821,B4CONZ,368997,Crown,LB11,Anis: Star,LB08,Rapi: Red Hood,LB11,Helm,LB11,Privaty,LB11,"Crown LB11, Anis: Star LB08, Rapi: Red Hood LB11, Helm LB11, Privaty LB11",42688396637,No
40,SEA,1,F2P,4496,3,Modernia,Fire,3,05-16 15:20,3,744,TAIKI,307243,D: Killer Wife,LB06,Brid: Silent Track,LB01,Alice,LB11,Diesel: Winter Sweets,LB01,Mihara: Bonding Chain,LB02,"D: Killer Wife LB06, Brid: Silent Track LB01, Alice LB11, Diesel: Winter Sweets LB01, Mihara: Bonding Chain LB02",23112785518,No
40,SEA,1,F2P,4496,3,Modernia,Fire,4,05-16 15:13,3,814,TARNIE,139299,Rapi: Red Hood,LB10,Brid: Silent Track,LB04,Helm,LB11,Diesel: Winter Sweets,LB08,Mihara: Bonding Chain,LB10,"Rapi: Red Hood LB10, Brid: Silent Track LB04, Helm LB11, Diesel: Winter Sweets LB08, Mihara: Bonding Chain LB10",35125533713,No
40,SEA,1,F2P,4496,3,Modernia,Fire,5,05-16 15:07,3,821,B4CONZ,368997,Brid: Silent Track,LB11,Rei Ayanami,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB11,Mihara: Bonding Chain,LB11,"Brid: Silent Track LB11, Rei Ayanami LB11, Little Mermaid LB11, Diesel: Winter Sweets LB11, Mihara: Bonding Chain LB11",54475243889,No
40,SEA,1,F2P,4496,3,Modernia,Fire,6,05-16 15:00,3,765,EIEI,3891715,Brid: Silent Track,LB01,Rapi: Red Hood,LB11,Little Mermaid,LB11,Mihara: Bonding Chain,LB05,Privaty,LB11,"Brid: Silent Track LB01, Rapi: Red Hood LB11, Little Mermaid LB11, Mihara: Bonding Chain LB05, Privaty LB11",33509083883,No
40,SEA,1,F2P,4496,3,Modernia,Fire,7,05-16 14:32,3,861,TIRAMISU,313562,Brid: Silent Track,LB04,Rapi: Red Hood,LB11,Little Mermaid,LB11,Diesel: Winter Sweets,LB04,Mihara: Bonding Chain,LB11,"Brid: Silent Track LB04, Rapi: Red Hood LB11, Little Mermaid LB11, Diesel: Winter Sweets LB04, Mihara: Bonding Chain LB11",50112249102,No
40,SEA,1,F2P,4496,3,Modernia,Fire,8,05-16 13:50,3,844,ALCATRAZ,67478,Brid: Silent Track,LB01,Rapi: Red Hood,LB11,Little Mermaid,LB11,Mihara: Bonding Chain,LB09,Privaty,LB11,"Brid: Silent Track LB01, Rapi: Red Hood LB11, Little Mermaid LB11, Mihara: Bonding Chain LB09, Privaty LB11",53808757192,No
40,SEA,1,F2P,4496,3,Modernia,Fire,9,05-16 12:43,3,765,RASLER,4905,Rapi: Red Hood,LB05,Brid: Silent Track,LB04,Little Mermaid,LB05,Diesel: Winter Sweets,LB04,Mihara: Bonding Chain,LB06,"Rapi: Red Hood LB05, Brid: Silent Track LB04, Little Mermaid LB05, Diesel: Winter Sweets LB04, Mihara: Bonding Chain LB06",42156301682,No
40,SEA,1,F2P,4496,3,Modernia,Fire,10,05-16 12:15,2,801,STRANGER,393115,Rapi: Red Hood,LB09,Mihara: Bonding Chain,LB05,Helm,LB11,Moran,LB09,Brid: Silent Track,LB01,"Rapi: Red Hood LB09, Mihara: Bonding Chain LB05, Helm LB11, Moran LB09, Brid: Silent Track LB01",33273840447,Yes
40,SEA,1,F2P,4496,3,Modernia,Fire,11,05-16 12:09,2,805,ARROWED,73,Brid: Silent Track,LB04,Mihara: Bonding Chain,LB03,Rapi: Red Hood,LB11,Diesel: Winter Sweets,LB04,Privaty,LB11,"Brid: Silent Track LB04, Mihara: Bonding Chain LB03, Rapi: Red Hood LB11, Diesel: Winter Sweets LB04, Privaty LB11",44316974575,No
40,SEA,1,F2P,4496,3,Modernia,Fire,12,05-16 12:06,2,807,POGAPPLE,162269,Brid: Silent Track,LB05,Rapi: Red Hood,LB11,Little Mermaid,LB11,Mihara: Bonding Chain,LB11,Privaty,LB11,"Brid: Silent Track LB05, Rapi: Red Hood LB11, Little Mermaid LB11, Mihara: Bonding Chain LB11, Privaty LB11",44229310658,No
40,SEA,1,F2P,4496,3,Modernia,Fire,13,05-16 11:32,2,750,DARKZAGE,3887056,Rapi: Red Hood,LB07,Mihara: Bonding Chain,LB04,Little Mermaid,LB09,Privaty,LB11,Brid: Silent Track,LB04,"Rapi: Red Hood LB07, Mihara: Bonding Chain LB04, Little Mermaid LB09, Privaty LB11, Brid: Silent Track LB04",36006085184,No
