Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,1,05-16 14:54,3,814,内田真礼,2313260,Rapi: Red Hood,LB11,Ade: Agent Bunny,LB02,Moran,LB11,Raven,LB04,Helm: Aquamarine,LB01,"Rapi: Red Hood LB11, Ade: Agent Bunny LB02, Moran LB11, Raven LB04, Helm: Aquamarine LB01",32831123269,Yes
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,2,05-16 14:47,3,827,QFU,17783,Rapi: Red Hood,LB11,Little Mermaid,LB06,Ade: Agent Bunny,LB03,Raven,LB01,Helm: Aquamarine,LB01,"Rapi: Red Hood LB11, Little Mermaid LB06, Ade: Agent Bunny LB03, Raven LB01, Helm: Aquamarine LB01",39821683959,No
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,3,05-16 14:39,3,833,DADDYX,5158160,Rapi: Red Hood,LB11,Raven,LB11,Little Mermaid,LB11,Nayuta,LB11,Helm: Aquamarine,LB01,"Rapi: Red Hood LB11, Raven LB11, Little Mermaid LB11, Nayuta LB11, Helm: Aquamarine LB01",35882881490,No
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,4,05-16 12:56,3,1073,FAH12ENH,76017,Rapi: Red Hood,LB11,Little Mermaid,LB11,Nayuta,LB11,Helm: Aquamarine,LB11,Raven,LB11,"Rapi: Red Hood LB11, Little Mermaid LB11, Nayuta LB11, Helm: Aquamarine LB11, Raven LB11",90955721069,No
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,5,05-16 12:35,3,1062,MOJOJOJO,1237192,Rapi: Red Hood,LB11,Little Mermaid,LB11,Ade: Agent Bunny,LB11,Raven,LB11,Helm: Aquamarine,LB11,"Rapi: Red Hood LB11, Little Mermaid LB11, Ade: Agent Bunny LB11, Raven LB11, Helm: Aquamarine LB11",92953885963,No
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,6,05-16 11:43,2,801,KANO,1967984,Liter,LB11,Rapi: Red Hood,LB09,Ade: Agent Bunny,LB02,Raven,LB04,Helm: Aquamarine,LB05,"Liter LB11, Rapi: Red Hood LB09, Ade: Agent Bunny LB02, Raven LB04, Helm: Aquamarine LB05",24445226844,Yes
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,7,05-16 11:23,2,774,MINUET59,82790,Rapi: Red Hood,LB05,Moran,LB09,Ade: Agent Bunny,LB02,Helm: Aquamarine,LB01,Raven,LB01,"Rapi: Red Hood LB05, Moran LB09, Ade: Agent Bunny LB02, Helm: Aquamarine LB01, Raven LB01",25982343043,No
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,8,05-16 11:12,2,782,SUNQUIT,992467,Rapi: Red Hood,LB11,Moran,LB11,Ade: Agent Bunny,LB04,Raven,LB11,Helm: Aquamarine,LB04,"Rapi: Red Hood LB11, Moran LB11, Ade: Agent Bunny LB04, Raven LB11, Helm: Aquamarine LB04",34798290968,No
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,9,05-16 10:51,2,768,JOEL,235584,Raven,LB11,Ade: Agent Bunny,LB11,Little Mermaid,LB11,Helm: Aquamarine,LB04,Rapi: Red Hood,LB11,"Raven LB11, Ade: Agent Bunny LB11, Little Mermaid LB11, Helm: Aquamarine LB04, Rapi: Red Hood LB11",34195805709,No
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,10,05-16 10:12,2,784,LB,2117751,Rapi: Red Hood,LB11,Moran,LB04,Ade: Agent Bunny,LB03,Raven,LB04,Helm: Aquamarine,LB01,"Rapi: Red Hood LB11, Moran LB04, Ade: Agent Bunny LB03, Raven LB04, Helm: Aquamarine LB01",30362752236,No
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,11,05-16 09:18,1,754,DESTINY,1130753,Rapi: Red Hood,LB11,Moran,LB06,Raven,LB01,Ade: Agent Bunny,LB05,Helm: Aquamarine,LB05,"Rapi: Red Hood LB11, Moran LB06, Raven LB01, Ade: Agent Bunny LB05, Helm: Aquamarine LB05",23899811176,Yes
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,12,05-16 09:09,1,728,LARCHZ,74644,Liter,LB11,Mast: Romantic Maid,LB07,Rapi: Red Hood,LB07,Raven,LB01,Anchor: Innocent Maid,LB04,"Liter LB11, Mast: Romantic Maid LB07, Rapi: Red Hood LB07, Raven LB01, Anchor: Innocent Maid LB04",20255143542,No
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,13,05-16 09:01,1,754,SISTINE,2161507,Rapi: Red Hood,LB11,Ade: Agent Bunny,LB02,Little Mermaid,LB04,Raven,LB04,Helm: Aquamarine,LB01,"Rapi: Red Hood LB11, Ade: Agent Bunny LB02, Little Mermaid LB04, Raven LB04, Helm: Aquamarine LB01",28655831111,No
40,SEA,1,F2P,4496,4,Rebuild Vulcan R,Iron,14,05-16 08:04,1,744,TAIKI,307243,Rapi: Red Hood,LB06,Ade: Agent Bunny,LB03,Little Mermaid,LB06,Raven,LB01,Helm: Aquamarine,LB01,"Rapi: Red Hood LB06, Ade: Agent Bunny LB03, Little Mermaid LB06, Raven LB01, Helm: Aquamarine LB01",27045493371,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,1,05-16 08:05,3,705,YUKIO,123338,Rapi: Red Hood,LB08,Red Hood,LB07,Little Mermaid,LB11,Crown,LB07,Privaty,LB10,"Rapi: Red Hood LB08, Red Hood LB07, Little Mermaid LB11, Crown LB07, Privaty LB10",24001793906,Yes
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,2,05-16 07:32,3,764,YABEE,4739282,Nayuta,LB05,Privaty,LB11,Little Mermaid,LB08,Rapi: Red Hood,LB11,Red Hood,LB11,"Nayuta LB05, Privaty LB11, Little Mermaid LB08, Rapi: Red Hood LB11, Red Hood LB11",33757473313,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,3,05-16 06:42,3,771,DANTE,3671395,Crown,LB11,Mast: Romantic Maid,LB11,Little Mermaid,LB07,Rapi: Red Hood,LB09,Raven,LB05,"Crown LB11, Mast: Romantic Maid LB11, Little Mermaid LB07, Rapi: Red Hood LB09, Raven LB05",38689797303,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,4,05-16 06:21,3,880,SHINONON,38069,Liter,LB11,Ade: Agent Bunny,LB06,Red Hood,LB11,Raven,LB11,Privaty,LB11,"Liter LB11, Ade: Agent Bunny LB06, Red Hood LB11, Raven LB11, Privaty LB11",38011073075,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,5,05-16 06:14,3,880,SHINONON,38069,Snow White,LB11,Maxwell,LB11,Mint,LB10,Zwei,LB09,Helm: Aquamarine,LB06,"Snow White LB11, Maxwell LB11, Mint LB10, Zwei LB09, Helm: Aquamarine LB06",47680380717,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,6,05-16 06:04,3,740,BANANA,1599739,Crown,LB09,Helm: Aquamarine,LB01,Little Mermaid,LB06,Rapi: Red Hood,LB11,Red Hood,LB11,"Crown LB09, Helm: Aquamarine LB01, Little Mermaid LB06, Rapi: Red Hood LB11, Red Hood LB11",30716633730,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,7,05-16 05:59,3,880,SHINONON,38069,Crown,LB11,Mast: Romantic Maid,LB05,Anis: Star,LB11,Rapi: Red Hood,LB11,EVE,LB11,"Crown LB11, Mast: Romantic Maid LB05, Anis: Star LB11, Rapi: Red Hood LB11, EVE LB11",79588143706,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,8,05-16 04:59,2,765,SHUYA,4128642,Nayuta,LB03,Helm: Aquamarine,LB04,Little Mermaid,LB04,Rapi: Red Hood,LB07,Red Hood,LB10,"Nayuta LB03, Helm: Aquamarine LB04, Little Mermaid LB04, Rapi: Red Hood LB07, Red Hood LB10",27628977055,Yes
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,9,05-16 04:50,2,721,ZEEXZ,2597468,Rapi: Red Hood,LB07,EVE,LB04,Little Mermaid,LB02,Nayuta,LB04,Privaty,LB10,"Rapi: Red Hood LB07, EVE LB04, Little Mermaid LB02, Nayuta LB04, Privaty LB10",27478270877,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,10,05-16 04:35,2,694,NEMURU,1275470,Miranda,LB05,Nayuta,LB04,Helm: Aquamarine,LB01,Rapi: Red Hood,LB08,Raven,LB01,"Miranda LB05, Nayuta LB04, Helm: Aquamarine LB01, Rapi: Red Hood LB08, Raven LB01",24392632953,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,11,05-16 04:20,2,756,謝拉尔夫,788912,Little Mermaid,LB04,Crown,LB09,Rapi: Red Hood,LB09,Raven,LB04,Helm: Aquamarine,LB03,"Little Mermaid LB04, Crown LB09, Rapi: Red Hood LB09, Raven LB04, Helm: Aquamarine LB03",34912210187,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,12,05-16 03:00,2,804,AMEM2YAN,3931871,Miranda,LB11,Ade: Agent Bunny,LB01,Rapi: Red Hood,LB11,Raven,LB04,Helm: Aquamarine,LB11,"Miranda LB11, Ade: Agent Bunny LB01, Rapi: Red Hood LB11, Raven LB04, Helm: Aquamarine LB11",35372327728,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,13,05-15 22:28,1,797,REDD,255084,Ade: Agent Bunny,LB04,Helm: Aquamarine,LB01,Little Mermaid,LB05,Rapi: Red Hood,LB11,Raven,LB05,"Ade: Agent Bunny LB04, Helm: Aquamarine LB01, Little Mermaid LB05, Rapi: Red Hood LB11, Raven LB05",33560514684,Yes
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,14,05-15 22:19,1,770,CALVIN,3891637,Crown,LB11,Mast: Romantic Maid,LB10,Little Mermaid,LB10,Rapi: Red Hood,LB11,EVE,LB04,"Crown LB11, Mast: Romantic Maid LB10, Little Mermaid LB10, Rapi: Red Hood LB11, EVE LB04",37232754103,No
40,SEA,2,CAMELOTT,6254,4,Rebuild Vulcan R,Iron,15,05-15 21:54,1,756,LICKYCHA,3368139,Crown,LB11,Mast: Romantic Maid,LB05,Little Mermaid,LB05,Rapi: Red Hood,LB11,Red Hood,LB11,"Crown LB11, Mast: Romantic Maid LB05, Little Mermaid LB05, Rapi: Red Hood LB11, Red Hood LB11",29063010413,No
40,SEA,3,花天月地,92,4,Rebuild Vulcan R,Iron,1,05-16 11:14,3,881,のぞむ,17437,Anis: Star,LB08,Crown,LB11,Red Hood,LB11,Raven,LB11,Mast: Romantic Maid,LB11,"Anis: Star LB08, Crown LB11, Red Hood LB11, Raven LB11, Mast: Romantic Maid LB11",42583842763,Yes
40,SEA,3,花天月地,92,4,Rebuild Vulcan R,Iron,2,05-16 11:01,3,744,AD斯卡帕,660183,Rapi: Red Hood,LB07,Ade: Agent Bunny,LB03,Raven,LB03,Red Hood,LB10,Helm: Aquamarine,LB01,"Rapi: Red Hood LB07, Ade: Agent Bunny LB03, Raven LB03, Red Hood LB10, Helm: Aquamarine LB01",23059750549,No
40,SEA,3,花天月地,92,4,Rebuild Vulcan R,Iron,3,05-16 11:00,3,848,RAY,65609,Miranda,LB11,Nayuta,LB04,Red Hood,LB10,Raven,LB04,Helm: Aquamarine,LB01,"Miranda LB11, Nayuta LB04, Red Hood LB10, Raven LB04, Helm: Aquamarine LB01",32783128050,No
40,SEA,3,花天月地,92,4,Rebuild Vulcan R,Iron,4,05-16 10:48,3,721,P4LEC,2901034,Rapi: Red Hood,LB03,Ade: Agent Bunny,LB02,Red Hood,LB08,EVE,LB01,Raven,LB01,"Rapi: Red Hood LB03, Ade: Agent Bunny LB02, Red Hood LB08, EVE LB01, Raven LB01",13979297326,No
40,SEA,3,花天月地,92,4,Rebuild Vulcan R,Iron,5,05-16 10:45,3,862,晓辉,8036,Rapi: Red Hood,LB11,Grave,LB11,Red Hood,LB11,Raven,LB05,Helm: Aquamarine,LB04,"Rapi: Red Hood LB11, Grave LB11, Red Hood LB11, Raven LB05, Helm: Aquamarine LB04",35562835285,No
40,SEA,3,花天月地,92,4,Rebuild Vulcan R,Iron,6,05-16 10:42,3,782,EHEDEY58,3051199,Rapi: Red Hood,LB10,Crown,LB06,Red Hood,LB11,Raven,LB04,Helm: Aquamarine,LB01,"Rapi: Red Hood LB10, Crown LB06, Red Hood LB11, Raven LB04, Helm: Aquamarine LB01",31261830980,No
40,SEA,3,花天月地,92,4,Rebuild Vulcan R,Iron,7,05-16 10:32,3,765,USER31047,31047,Rapi: Red Hood,LB08,Grave,LB04,Red Hood,LB07,Raven,LB02,Helm: Aquamarine,LB01,"Rapi: Red Hood LB08, Grave LB04, Red Hood LB07, Raven LB02, Helm: Aquamarine LB01",22525698209,No
40,SEA,3,花天月地,92,4,Rebuild Vulcan R,Iron,8,05-16 10:30,3,797,REQUIEM,2580645,Anis: Star,LB08,Crown,LB11,Red Hood,LB11,Rapi: Red Hood,LB11,Mast: Romantic Maid,LB06,"Anis: Star LB08, Crown LB11, Red Hood LB11, Rapi: Red Hood LB11, Mast: Romantic Maid LB06",38327060760,No
40,SEA,3,花天月地,92,4,Rebuild Vulcan R,Iron,9,05-16 10:01,3,782,萌奶香,577109,Rapi: Red Hood,LB11,Ade: Agent Bunny,LB11,Red Hood,LB11,Raven,LB04,Helm: Aquamarine,LB01,"Rapi: Red Hood LB11, Ade: Agent Bunny LB11, Red Hood LB11, Raven LB04, Helm: Aquamarine LB01",29883536234,No
