Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,SEA,1,F2P,4496,5,Alteisen,Electric,1,05-16 15:44,3,754,DESTINY,1130753,Cinderella,LB08,Neon: Vision Eye,LB02,Anis: Star,LB05,Crown,LB06,Anis: Sparkling Summer,LB11,"Cinderella LB08, Neon: Vision Eye LB02, Anis: Star LB05, Crown LB06, Anis: Sparkling Summer LB11",42842589475,Yes
40,SEA,1,F2P,4496,5,Alteisen,Electric,2,05-16 15:40,3,801,KANO,1967984,Cinderella,LB11,Anis: Star,LB11,Anis: Sparkling Summer,LB11,Crown,LB11,Maiden: Ice Rose,LB04,"Cinderella LB11, Anis: Star LB11, Anis: Sparkling Summer LB11, Crown LB11, Maiden: Ice Rose LB04",54553390896,No
40,SEA,1,F2P,4496,5,Alteisen,Electric,3,05-16 15:25,3,784,LB,2117751,Cinderella,LB11,Anis: Sparkling Summer,LB04,Maiden: Ice Rose,LB01,Anis: Star,LB11,Crown,LB11,"Cinderella LB11, Anis: Sparkling Summer LB04, Maiden: Ice Rose LB01, Anis: Star LB11, Crown LB11",50547815483,No
40,SEA,1,F2P,4496,5,Alteisen,Electric,4,05-16 15:12,3,846,YAMATO,260853,Isabel,LB11,Cinderella,LB11,Anis: Star,LB11,Arcana,LB06,Crown,LB11,"Isabel LB11, Cinderella LB11, Anis: Star LB11, Arcana LB06, Crown LB11",77711020076,No
40,SEA,1,F2P,4496,5,Alteisen,Electric,5,05-16 15:02,3,1062,MOJOJOJO,1237192,Cinderella,LB11,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB11,Anis: Star,LB11,Crown,LB11,"Cinderella LB11, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB11, Anis: Star LB11, Crown LB11",123576085570,No
40,SEA,1,F2P,4496,5,Alteisen,Electric,6,05-16 11:11,2,728,LARCHZ,74644,Cinderella,LB11,Anis: Star,LB09,Anis: Sparkling Summer,LB04,Crown,LB08,Maiden: Ice Rose,LB04,"Cinderella LB11, Anis: Star LB09, Anis: Sparkling Summer LB04, Crown LB08, Maiden: Ice Rose LB04",41397569373,Yes
40,SEA,1,F2P,4496,5,Alteisen,Electric,7,05-16 11:01,2,744,TAIKI,307243,Anis: Star,LB04,Crown,LB06,Neon: Vision Eye,LB04,Anis: Sparkling Summer,LB05,Maiden: Ice Rose,LB01,"Anis: Star LB04, Crown LB06, Neon: Vision Eye LB04, Anis: Sparkling Summer LB05, Maiden: Ice Rose LB01",45928602143,No
40,SEA,1,F2P,4496,5,Alteisen,Electric,8,05-16 10:48,2,771,EROだよ,790198,Cinderella,LB11,Anis: Sparkling Summer,LB11,Anis: Star,LB04,Crown,LB11,Maiden: Ice Rose,LB01,"Cinderella LB11, Anis: Sparkling Summer LB11, Anis: Star LB04, Crown LB11, Maiden: Ice Rose LB01",46457132233,No
40,SEA,1,F2P,4496,5,Alteisen,Electric,9,05-16 10:39,2,770,SSOULS,590909,Cinderella,LB07,Crown,LB08,Anis: Star,LB03,Anis: Sparkling Summer,LB04,Maiden: Ice Rose,LB01,"Cinderella LB07, Crown LB08, Anis: Star LB03, Anis: Sparkling Summer LB04, Maiden: Ice Rose LB01",47463190412,No
40,SEA,1,F2P,4496,5,Alteisen,Electric,10,05-16 10:13,2,750,DARKZAGE,3887056,Cinderella,LB08,Anis: Sparkling Summer,LB07,Anis: Star,LB04,Maiden: Ice Rose,LB02,Crown,LB11,"Cinderella LB08, Anis: Sparkling Summer LB07, Anis: Star LB04, Maiden: Ice Rose LB02, Crown LB11",45016226239,No
40,SEA,1,F2P,4496,5,Alteisen,Electric,11,05-16 09:19,1,785,NOKAZE,193271,Neon: Vision Eye,LB01,Anis: Sparkling Summer,LB11,Anis: Star,LB04,Crown,LB11,Maiden: Ice Rose,LB11,"Neon: Vision Eye LB01, Anis: Sparkling Summer LB11, Anis: Star LB04, Crown LB11, Maiden: Ice Rose LB11",50377693089,Yes
