Raid,Server,Union Rank,Union Name,Union ID,Step Number,Step Name,Weakness,Union Hit Order,UTC,Raid Lv,Team Lv,Player Name,Player ID,Team 1 Name,Team 1 LB,Team 2 Name,Team 2 LB,Team 3 Name,Team 3 LB,Team 4 Name,Team 4 LB,Team 5 Name,Team 5 LB,Team (Name+LB),Damage,Kill Hit
40,SEA,1,F2P,4496,6,∞,Electric,1,05-16 16:57,4,1073,FAH12ENH,76017,Neon: Vision Eye,LB11,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB11,Ade: Agent Bunny,LB11,Moran,LB11,"Neon: Vision Eye LB11, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB11, Ade: Agent Bunny LB11, Moran LB11",85605935339,No
40,SEA,1,F2P,4496,6,∞,Electric,2,05-16 16:51,4,765,RASLER,4905,Moran,LB11,Neon: Vision Eye,LB04,Ade: Agent Bunny,LB06,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB02,"Moran LB11, Neon: Vision Eye LB04, Ade: Agent Bunny LB06, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB02",33124671443,No
40,SEA,1,F2P,4496,6,∞,Electric,3,05-16 16:48,4,1073,FAH12ENH,76017,Isabel,LB11,Cinderella,LB11,Anis: Star,LB11,Arcana,LB11,Crown,LB11,"Isabel LB11, Cinderella LB11, Anis: Star LB11, Arcana LB11, Crown LB11",132071758240,No
40,SEA,1,F2P,4496,6,∞,Electric,4,05-16 16:45,4,765,RASLER,4905,Isabel,LB08,Anis: Star,LB05,Arcana,LB07,Crown,LB05,Cinderella,LB07,"Isabel LB08, Anis: Star LB05, Arcana LB07, Crown LB05, Cinderella LB07",44456225718,No
40,SEA,1,F2P,4496,6,∞,Electric,5,05-16 16:36,4,807,POGAPPLE,162269,Isabel,LB11,Cinderella,LB11,Anis: Star,LB11,Arcana,LB11,Crown,LB11,"Isabel LB11, Cinderella LB11, Anis: Star LB11, Arcana LB11, Crown LB11",70510612644,No
40,SEA,1,F2P,4496,6,∞,Electric,6,05-16 16:32,4,765,EIEI,3891715,Mast: Romantic Maid,LB08,Moran,LB11,Neon: Vision Eye,LB06,Liberalio,LB11,Anchor: Innocent Maid,LB08,"Mast: Romantic Maid LB08, Moran LB11, Neon: Vision Eye LB06, Liberalio LB11, Anchor: Innocent Maid LB08",22034254243,No
40,SEA,1,F2P,4496,6,∞,Electric,7,05-16 16:30,4,801,STRANGER,393115,Cinderella,LB11,Anis: Sparkling Summer,LB11,Anis: Star,LB04,Maiden: Ice Rose,LB06,Crown,LB11,"Cinderella LB11, Anis: Sparkling Summer LB11, Anis: Star LB04, Maiden: Ice Rose LB06, Crown LB11",58463706174,No
40,SEA,1,F2P,4496,6,∞,Electric,8,05-16 16:29,4,807,POGAPPLE,162269,Neon: Vision Eye,LB11,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB11,Ade: Agent Bunny,LB08,Moran,LB11,"Neon: Vision Eye LB11, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB11, Ade: Agent Bunny LB08, Moran LB11",46822940738,No
40,SEA,1,F2P,4496,6,∞,Electric,9,05-16 16:27,4,827,QFU,17783,Crown,LB11,Neon: Vision Eye,LB11,Anis: Star,LB11,Cinderella,LB10,Mast: Romantic Maid,LB07,"Crown LB11, Neon: Vision Eye LB11, Anis: Star LB11, Cinderella LB10, Mast: Romantic Maid LB07",67742995712,No
40,SEA,1,F2P,4496,6,∞,Electric,10,05-16 16:27,4,814,内田真礼,2313260,Crown,LB11,Anis: Star,LB11,Neon: Vision Eye,LB04,Cinderella,LB11,Anis: Sparkling Summer,LB05,"Crown LB11, Anis: Star LB11, Neon: Vision Eye LB04, Cinderella LB11, Anis: Sparkling Summer LB05",59490089359,No
40,SEA,1,F2P,4496,6,∞,Electric,11,05-16 16:24,4,798,BEER,211245,Cinderella,LB11,Anis: Star,LB05,Anis: Sparkling Summer,LB08,Crown,LB11,Maiden: Ice Rose,LB11,"Cinderella LB11, Anis: Star LB05, Anis: Sparkling Summer LB08, Crown LB11, Maiden: Ice Rose LB11",47596744899,No
40,SEA,1,F2P,4496,6,∞,Electric,12,05-16 16:21,4,762,MEIYA,3544996,Mast: Romantic Maid,LB05,Neon: Vision Eye,LB04,Little Mermaid,LB02,Liberalio,LB02,Anchor: Innocent Maid,LB02,"Mast: Romantic Maid LB05, Neon: Vision Eye LB04, Little Mermaid LB02, Liberalio LB02, Anchor: Innocent Maid LB02",23380795440,No
40,SEA,1,F2P,4496,6,∞,Electric,13,05-16 16:21,4,844,ALCATRAZ,67478,Cinderella,LB11,Crown,LB11,Anis: Star,LB11,Anis: Sparkling Summer,LB11,Maiden: Ice Rose,LB02,"Cinderella LB11, Crown LB11, Anis: Star LB11, Anis: Sparkling Summer LB11, Maiden: Ice Rose LB02",68781149621,No
40,SEA,1,F2P,4496,6,∞,Electric,14,05-16 16:17,4,846,YAMATO,260853,Miranda,LB11,Takina,LB07,Ada,LB11,Ein,LB11,Little Mermaid,LB11,"Miranda LB11, Takina LB07, Ada LB11, Ein LB11, Little Mermaid LB11",38934541585,No
40,SEA,1,F2P,4496,6,∞,Electric,15,05-16 16:16,4,765,SELINA,221958,Neon: Vision Eye,LB07,Moran,LB11,Ade: Agent Bunny,LB05,Anis: Sparkling Summer,LB05,Maiden: Ice Rose,LB04,"Neon: Vision Eye LB07, Moran LB11, Ade: Agent Bunny LB05, Anis: Sparkling Summer LB05, Maiden: Ice Rose LB04",33692854785,No
