Raid,Server,Player ID,Player Name,Union ID,Union Name,Team Lv,Total Damage,Hit Count,Kill Hit Count
40,GLOBAL,1549638,NISH,1663,MIDNIGHT,1089,416966123900,3,0
40,GLOBAL,289328,YUY,477,噩梦之巅,1089,376685150992,3,0
40,GLOBAL,9332983,MOYNA,85,蓝发女主太多啦,1024,330062240531,3,0
40,GLOBAL,93431,YANG,1663,MIDNIGHT,1070,327240368983,3,1
40,GLOBAL,616574,BENGDA,11158,WARCRAFT,1006,284740016611,3,1
40,GLOBAL,631889,YOON,13395,NIKKUNNY,941,279993353772,3,0
40,GLOBAL,63128,LENIANE,11158,WARCRAFT,961,254613528180,3,0
40,GLOBAL,8156308,MANHAM,218,CRESCENT,882,241368427724,3,0
40,GLOBAL,63837,DANA,353,OASIS,1005,235890632835,3,0
40,GLOBAL,8848979,水无月,1663,MIDNIGHT,901,233231305635,3,0
40,GLOBAL,4992586,KPSH,477,噩梦之巅,974,232573662909,3,0
40,GLOBAL,1322264,YUMI,18742,帝國華撃団,942,231713761764,3,1
40,GLOBAL,2113486,엘드윈,11158,WARCRAFT,912,231562678151,3,0
40,GLOBAL,508937,WSY,1663,MIDNIGHT,888,226218866418,3,0
40,GLOBAL,6569305,FTD,31043,SOLACE,881,220986718958,3,0
40,GLOBAL,6658974,RAVEN,477,噩梦之巅,962,218662941558,3,0
40,GLOBAL,2422460,HOSHIWS,1663,MIDNIGHT,888,218390224733,3,0
40,GLOBAL,20144,空白游戏人生,931,格里芬,901,218089496427,3,0
40,GLOBAL,2090974,늅늅이,11903,아카라이브,890,213711661104,3,0
40,GLOBAL,6402139,肥茜茜,18742,帝國華撃団,904,212720214549,3,0
40,GLOBAL,2151828,MATIAS,11158,WARCRAFT,956,210240814475,3,0
40,GLOBAL,7077963,DISTORSI,31043,SOLACE,886,209560406314,3,0
40,GLOBAL,9691494,CHOUCHOU,127,AVARITIA,903,206055386559,3,0
40,GLOBAL,1289890,ICE,178,VOID,842,200080111116,3,0
40,GLOBAL,7251311,KEN,178,VOID,841,195614776351,3,0
40,GLOBAL,124616,萌新,477,噩梦之巅,977,194689745094,3,0
40,GLOBAL,159459,帝国摄政基里曼,785,东方红魔馆,862,193373960118,3,0
40,GLOBAL,12085589,皇族骑士,931,格里芬,861,192861161594,3,0
40,GLOBAL,310001,KLARA,11158,WARCRAFT,821,192380333440,3,0
40,GLOBAL,214286,TAE,1663,MIDNIGHT,849,186872016573,3,0
40,GLOBAL,761954,CRICRI,19496,MUTEKI,891,186698287563,3,0
40,GLOBAL,11639850,六一猪宝,1663,MIDNIGHT,881,185261034516,3,0
40,GLOBAL,7553294,RAIN,289,86妮姬夺还部队,841,185194362126,3,1
40,GLOBAL,293099,紫烟流云,931,格里芬,761,178024762888,3,0
40,GLOBAL,495992,純潔之獸,477,噩梦之巅,910,175408239481,3,0
40,GLOBAL,338263,FRIZFROZ,31043,SOLACE,785,168501067207,3,1
40,GLOBAL,6263793,ELIXER,11158,WARCRAFT,841,167888871249,3,0
40,GLOBAL,179970,2B,178,VOID,966,166614992468,3,0
40,GLOBAL,7705553,REDLOTUS,127,AVARITIA,805,166379240459,3,0
40,GLOBAL,566604,WANY,1663,MIDNIGHT,898,166153833685,3,0
40,GLOBAL,3679927,ハシュマル,18742,帝國華撃団,841,166093397416,3,0
40,GLOBAL,6656772,ALVARN,3562,DEVOTEES,854,165067937024,3,0
40,GLOBAL,4151090,YUNAIH,5577,RACCOON,843,164877189669,3,0
40,GLOBAL,1205638,四糸乃的兔子,28730,绒布球工厂,821,163131018604,3,0
40,GLOBAL,493645,山止川行,477,噩梦之巅,821,162042055552,3,0
40,GLOBAL,794894,SORROW,1663,MIDNIGHT,808,161501320888,3,1
40,GLOBAL,2234686,FOXERA,11158,WARCRAFT,801,160477120078,3,0
40,GLOBAL,49459,HAYDE,11158,WARCRAFT,805,159886952379,3,1
40,GLOBAL,1762125,HELLY,4893,NIKG,781,158127092081,3,0
40,GLOBAL,280201,NEKO,1663,MIDNIGHT,821,156598300482,3,0
40,GLOBAL,82630,ALDARN,11158,WARCRAFT,785,156260044792,3,0
40,GLOBAL,65165,天堂星雲,931,格里芬,881,156136074937,3,0
40,GLOBAL,624795,TEMPORAL,13433,YUKIKAZE,830,156047607727,3,0
40,GLOBAL,7850262,ELENOE,127,AVARITIA,815,155794677958,3,0
40,GLOBAL,3256665,KENNY,477,噩梦之巅,886,155506679091,3,0
40,GLOBAL,155767,COMMON,11158,WARCRAFT,845,155095136653,3,0
40,GLOBAL,7529,KIRRAN58,178,VOID,811,154398367834,3,0
40,GLOBAL,397662,이안,739,노아의방주,805,154303824170,3,0
40,GLOBAL,6899193,NOVASONI,31043,SOLACE,768,154278937665,3,0
40,GLOBAL,7507832,ARKANIS,13395,NIKKUNNY,781,152931813843,3,0
40,GLOBAL,2637920,一位父亲,1663,MIDNIGHT,814,152883492576,3,1
40,GLOBAL,1500294,BROCKLEE,1663,MIDNIGHT,803,152391190289,3,1
40,GLOBAL,3227606,MOSHI,11158,WARCRAFT,803,152209425849,3,1
40,GLOBAL,432485,TSURARA,218,CRESCENT,801,152115558919,3,0
40,GLOBAL,13193035,MANGO,1663,MIDNIGHT,824,151134870132,3,1
40,GLOBAL,3946767,WESTSIDE,178,VOID,789,150911363300,3,0
40,GLOBAL,83137,SEBASTAN,11158,WARCRAFT,805,150581240664,3,0
40,GLOBAL,1004193,RIRI,1663,MIDNIGHT,784,149781028266,3,0
40,GLOBAL,1210713,AEON,6554,PREFECT,821,148660668037,3,0
40,GLOBAL,1409350,大香蕉,23439,清晰的边界,813,148060749087,3,0
40,GLOBAL,324770,EPHEKT,353,OASIS,868,147666280928,3,1
40,GLOBAL,1728175,KWAI,178,VOID,822,147650943695,3,0
40,GLOBAL,32322,魔法少女郭德纲,228,胜利女神,852,147086544440,3,1
40,GLOBAL,3830776,李皇,1663,MIDNIGHT,820,146878235047,3,0
40,GLOBAL,4267279,NEGA,69,ARCALIVE,761,146756843447,3,0
40,GLOBAL,6263034,废墟,1663,MIDNIGHT,810,146201960690,3,0
40,GLOBAL,6445643,YYAJ,1663,MIDNIGHT,805,145544454409,3,0
40,GLOBAL,771782,THICCFR,3562,DEVOTEES,770,144644276748,3,0
40,GLOBAL,18359,하누,345,한국,883,144426317772,3,0
40,GLOBAL,1008081,BVWX,1663,MIDNIGHT,817,143974744291,3,0
40,GLOBAL,1575779,GAVIN,1663,MIDNIGHT,821,143717213266,3,0
40,GLOBAL,333801,MOMO,931,格里芬,848,143560112434,3,0
40,GLOBAL,2133006,MYBLOOD,1663,MIDNIGHT,822,142925371909,3,0
40,GLOBAL,6705208,OQPGECC,1663,MIDNIGHT,791,142910896807,3,0
40,GLOBAL,218823,RIZE,908,JIGGLE,761,142427946775,3,0
40,GLOBAL,1204808,じん,7634,アバンギャルド,904,142351189883,3,0
40,GLOBAL,504363,JAHAN,2800,指揮官好社,795,141830192954,3,0
40,GLOBAL,7272731,NEILA,4893,NIKG,769,141678224371,3,0
40,GLOBAL,4463184,WARLOCK,289,86妮姬夺还部队,770,141537311856,3,0
40,GLOBAL,228680,CDD,931,格里芬,781,141228468995,3,0
40,GLOBAL,8237495,CONSTANT,11158,WARCRAFT,803,141218051174,3,0
40,GLOBAL,40288,EXTHS,4737,SOFTIES,840,140949616094,3,2
40,GLOBAL,3224393,PDEE,21859,PANTSUUU,761,140618612892,3,0
40,GLOBAL,6860411,MADO,13395,NIKKUNNY,856,140197423383,3,0
40,GLOBAL,718050,TARVO,15446,SHARAKU,783,140082761578,3,0
40,GLOBAL,805029,SENTRY,1663,MIDNIGHT,821,140076803248,3,0
40,GLOBAL,282011,ZACK,4241,DYNASTY,795,139954792629,3,0
40,GLOBAL,3916384,厝若兴某照三餐菁,477,噩梦之巅,844,139931888587,3,1
40,GLOBAL,1134874,FEI,18742,帝國華撃団,804,139319627233,3,0
40,GLOBAL,6185544,AICHAN,11158,WARCRAFT,769,138265699772,3,0
40,GLOBAL,6889964,SHADOW4X,4241,DYNASTY,769,138265692536,3,0
