Raid,Server,Player ID,Player Name,Union ID,Union Name,Team Lv,Total Damage,Hit Count,Kill Hit Count
40,SEA,1237192,MOJOJOJO,4496,F2P,1062,343394679446,3,0
40,SEA,1064672,ZEHEL,2190,EDELWEIS,1021,314257534933,3,0
40,SEA,76017,FAH12ENH,4496,F2P,1073,308633414648,3,0
40,SEA,1065207,NYCTO,6254,CAMELOTT,901,230346145447,3,0
40,SEA,2282340,CHICKEN,6254,CAMELOTT,851,195888608911,3,0
40,SEA,360061,NINTY,6254,CAMELOTT,846,189986669993,3,0
40,SEA,2298023,NOZO,22,LOLICON,881,188025883040,3,0
40,SEA,67478,ALCATRAZ,4496,F2P,844,180109003459,3,0
40,SEA,344044,ARTURIA,165,TYRANNY,905,173224942847,3,0
40,SEA,295494,SLEPTELS,2867,SEGTHICC,845,171607865884,3,0
40,SEA,260853,YAMATO,4496,F2P,846,167227332615,3,0
40,SEA,313562,TIRAMISU,4496,F2P,861,166211761041,3,0
40,SEA,38069,SHINONON,6254,CAMELOTT,880,165279597498,3,0
40,SEA,162269,POGAPPLE,4496,F2P,807,161562864040,3,0
40,SEA,482417,XIAH,2878,ITZHERE,881,160787250851,3,0
40,SEA,1521372,CRRSTLE,6254,CAMELOTT,805,160642405235,3,0
40,SEA,73,ARROWED,4496,F2P,805,157455200226,3,0
40,SEA,2772269,VITAC,3643,KSPD,843,156788309688,3,0
40,SEA,17783,QFU,4496,F2P,827,156274968565,3,0
40,SEA,992467,SUNQUIT,4496,F2P,782,153219048930,3,0
40,SEA,2313260,内田真礼,4496,F2P,814,152607449141,3,1
40,SEA,3824451,鬼崎きらら,1621,默默逸鱼,805,151762926022,3,0
40,SEA,5158160,DADDYX,4496,F2P,833,151014510470,3,1
40,SEA,20937,AHH祥祥,7438,WALKURE,844,150503002682,3,0
40,SEA,8036,晓辉,92,花天月地,862,150244448868,3,0
40,SEA,139299,TARNIE,4496,F2P,814,150243397657,3,0
40,SEA,17437,のぞむ,92,花天月地,881,149310572503,3,1
40,SEA,2264988,RYKO,6254,CAMELOTT,781,149107577642,3,0
40,SEA,1967984,KANO,4496,F2P,801,147941135166,3,1
40,SEA,506265,XRIOS,11988,ブルーワッフル,802,147756553578,3,0
40,SEA,4991492,TYRO,2867,SEGTHICC,807,147730124827,3,0
40,SEA,40537,XELNIX,6254,CAMELOTT,764,147284203195,3,0
40,SEA,4008437,BRYNHILD,6341,VANILLAA,805,145934494513,3,0
40,SEA,31723,SIAOKIA,2786,KAGEID,825,145048922690,3,0
40,SEA,5403320,丿CS丶冰莎幻曲,33,芳香,818,144531088622,3,0
40,SEA,1562805,VOID,2786,KAGEID,802,144324606938,3,0
40,SEA,2918980,AMYALT,33,芳香,781,143864054080,3,0
40,SEA,4974366,FRUNERS,165,TYRANNY,761,142762232091,3,0
40,SEA,368997,B4CONZ,4496,F2P,821,142528080808,3,1
40,SEA,393115,STRANGER,4496,F2P,801,142407577660,3,1
40,SEA,3565568,HARUNA,2819,REVIVE,792,141407993848,3,0
40,SEA,1292837,YOYO,6479,SECTION,781,140442447135,3,0
40,SEA,790198,EROだよ,4496,F2P,771,140004834211,3,0
